stage,n_nodes,n_episodes,support_coverage,caliper_minutes,kendall_tau_b,median_rank_displacement,p90_rank_displacement,share_rank_displacement_ge_030,spearman_rho,share_signed_ge_030,share_signed_le_minus030,delay_boundary_tie_count,consequence_boundary_tie_count,top10_overlap,status,heterogeneity_status,candidate_pairs,balanced_episode_pairs,matched_episodes,match_coverage,median_consequence_priority_percentile_gap,p90_consequence_priority_percentile_gap,delay_boundary_tie_fraction,consequence_boundary_tie_fraction,replicate
POST_OB_PRE_TO,16,11,1.0,5.0,0.9823008849557521,0.0,0.03125,0.0,0.9970104633781766,0.0,0.0,1,1,0.5,PASS,PASS,114,87,11,1.0,0.3125,0.6187500000000004,0.0625,0.0625,10
PRE_IB,51,8,1.0,5.0,0.9394904458598727,0.019607843137254888,0.05882352941176472,0.0196078431372549,0.9810662680617837,0.0196078431372549,0.0,2,2,0.6666666666666666,PASS,PASS,593,59,8,1.0,0.2647058823529412,0.5490196078431373,0.0392156862745098,0.0392156862745098,11
POST_IB_PRE_OB,428,8,1.0,5.0,0.9074679958718517,0.014018691588784993,0.0700934579439253,0.0,0.977656893454874,0.0,0.0,2,2,0.9069767441860465,PASS,PASS,50325,59,8,1.0,0.32242990654205606,0.5764018691588786,0.004672897196261682,0.004672897196261682,11
POST_OB_PRE_TO,16,8,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,1.0,PASS,PASS,107,83,8,1.0,0.3125,0.59375,0.125,0.125,11
PRE_IB,56,9,1.0,5.0,0.8030203545633618,0.07142857142857151,0.23214285714285718,0.08928571428571429,0.9116993262884306,0.08928571428571429,0.0,2,2,0.6666666666666666,PASS,PASS,796,60,9,1.0,0.1875,0.4482142857142859,0.03571428571428571,0.03571428571428571,12
POST_IB_PRE_OB,232,9,1.0,5.0,0.9449788524160646,0.006465517241379337,0.05603448275862072,0.0,0.9907682017118131,0.0,0.0,2,1,0.8333333333333334,PASS,PASS,15496,60,9,1.0,0.19935344827586207,0.4482758620689656,0.008620689655172414,0.004310344827586207,12
POST_OB_PRE_TO,16,9,1.0,5.0,1.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,2,2,1.0,PASS,PASS,109,85,9,1.0,0.28125,0.625,0.125,0.125,12
PRE_IB,70,9,1.0,5.0,0.8724832214765103,0.042857142857142816,0.0714285714285714,0.04285714285714286,0.9252100840336136,0.04285714285714286,0.0,2,2,0.8571428571428571,PASS,PASS,980,61,9,1.0,0.35714285714285715,0.6285714285714286,0.02857142857142857,0.02857142857142857,13
POST_IB_PRE_OB,520,9,1.0,5.0,0.892386421112136,0.01538461538461533,0.11730769230769234,0.0019230769230769232,0.9711876155701856,0.0,0.0019230769230769232,4,4,0.8269230769230769,PASS,PASS,69237,61,9,1.0,0.3298076923076923,0.5961538461538461,0.007692307692307693,0.007692307692307693,13
POST_OB_PRE_TO,16,9,1.0,5.0,0.9999999999999998,0.0,0.0,0.0,1.0,0.0,0.0,2,2,1.0,PASS,PASS,107,83,9,1.0,0.34375,0.625,0.125,0.125,13
PRE_IB,60,7,1.0,5.0,0.9319884726224784,0.016666666666666663,0.09999999999999998,0.0,0.9855330514133095,0.0,0.0,3,3,0.5,PASS,PASS,775,50,7,1.0,0.20833333333333337,0.44999999999999996,0.05,0.05,14
POST_IB_PRE_OB,240,7,1.0,5.0,0.9573155773611354,0.004166666666666707,0.0625,0.0,0.9934611556443764,0.0,0.0,3,3,0.8333333333333334,PASS,PASS,11877,50,7,1.0,0.26875,0.43750000000000006,0.0125,0.0125,14
POST_OB_PRE_TO,17,7,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3,3,1.0,PASS,PASS,114,81,7,1.0,0.2941176470588235,0.6764705882352942,0.17647058823529413,0.17647058823529413,14
PRE_IB,56,8,1.0,5.0,0.9153439153439152,0.017857142857142863,0.10714285714285718,0.017857142857142856,0.9754311524774157,0.017857142857142856,0.0,3,3,0.5,PASS,PASS,645,58,8,1.0,0.2142857142857143,0.5232142857142862,0.05357142857142857,0.05357142857142857,15
POST_IB_PRE_OB,226,8,1.0,5.0,0.9371272856522255,0.008849557522123908,0.10176991150442477,0.0,0.9877506696740705,0.0,0.0,3,3,0.782608695652174,PASS,PASS,11730,58,8,1.0,0.2411504424778761,0.4712389380530973,0.01327433628318584,0.01327433628318584,15
POST_OB_PRE_TO,17,8,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3,3,1.0,PASS,PASS,116,83,8,1.0,0.3235294117647059,0.6764705882352942,0.17647058823529413,0.17647058823529413,15
PRE_IB,34,9,1.0,5.0,0.5774134790528234,0.08823529411764705,0.411764705882353,0.20588235294117646,0.7130607870157709,0.08823529411764706,0.11764705882352941,1,1,1.0,PASS,PASS,349,71,8,0.8888888888888888,0.20588235294117646,0.5,0.029411764705882353,0.029411764705882353,16
POST_IB_PRE_OB,296,9,1.0,5.0,0.6511948529411763,0.11824324324324326,0.35810810810810806,0.1858108108108108,0.7739460020239871,0.05067567567567568,0.13513513513513514,2,3,0.7,PASS,PASS,31291,71,8,0.8888888888888888,0.3277027027027027,0.6334459459459459,0.006756756756756757,0.010135135135135136,16
POST_OB_PRE_TO,17,9,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3,3,1.0,PASS,PASS,118,85,9,1.0,0.29411764705882354,0.6470588235294117,0.17647058823529413,0.17647058823529413,16
PRE_IB,40,9,1.0,5.0,0.6985583224115335,0.05000000000000003,0.30000000000000004,0.175,0.8150375939849622,0.025,0.15,2,2,1.0,PASS,PASS,296,56,9,1.0,0.1625,0.36250000000000004,0.05,0.05,17
POST_IB_PRE_OB,222,9,1.0,5.0,0.7808263922913603,0.07207207207207204,0.1882882882882884,0.02252252252252252,0.91131314826423,0.02252252252252252,0.0,1,1,0.9565217391304348,PASS,PASS,14551,56,9,1.0,0.3074324324324324,0.5822072072072071,0.0045045045045045045,0.0045045045045045045,17
POST_OB_PRE_TO,16,9,1.0,5.0,0.912280701754386,0.0,0.125,0.0,0.9673105497771173,0.0,0.0,1,1,0.5,PASS,PASS,112,85,9,1.0,0.34375,0.7062500000000003,0.0625,0.0625,17
PRE_IB,55,10,1.0,5.0,0.8359322033898305,0.036363636363636376,0.18181818181818182,0.05454545454545454,0.9191627571273908,0.05454545454545454,0.0,2,2,1.0,PASS,PASS,598,56,10,1.0,0.11818181818181815,0.4136363636363636,0.03636363636363636,0.03636363636363636,18
POST_IB_PRE_OB,268,10,1.0,5.0,0.8819576660320305,0.029850746268656775,0.11641791044776136,0.0,0.9582342071400782,0.0,0.0,1,1,0.9259259259259259,PASS,PASS,21850,56,10,1.0,0.22201492537313433,0.4906716417910447,0.0037313432835820895,0.0037313432835820895,18
POST_OB_PRE_TO,17,10,1.0,5.0,0.9083969465648853,0.0,0.11764705882352944,0.0,0.9630086313193589,0.0,0.0,2,2,1.0,PASS,PASS,126,87,10,1.0,0.29411764705882354,0.6764705882352942,0.11764705882352941,0.11764705882352941,18
PRE_IB,68,8,1.0,5.0,0.7826280623608017,0.08823529411764702,0.1470588235294118,0.08823529411764706,0.8319359828880276,0.08823529411764706,0.0,2,1,0.7142857142857143,PASS,PASS,1393,81,8,1.0,0.25000000000000006,0.7647058823529412,0.029411764705882353,0.014705882352941176,19
POST_IB_PRE_OB,416,8,1.0,5.0,0.9151035379329558,0.009615384615384616,0.10336538461538458,0.0,0.9730697118061272,0.0,0.0,2,2,0.7142857142857143,PASS,PASS,68576,81,8,1.0,0.3173076923076923,0.6923076923076923,0.004807692307692308,0.004807692307692308,19
POST_OB_PRE_TO,16,8,1.0,5.0,0.9999999999999998,0.0,0.0,0.0,1.0,0.0,0.0,2,2,1.0,PASS,PASS,109,85,8,1.0,0.3125,0.625,0.125,0.125,19
PRE_IB,79,8,1.0,5.0,0.8886693017127801,0.025316455696202556,0.07594936708860757,0.05063291139240506,0.9328891757913841,0.05063291139240506,0.0,2,2,1.0,PASS,PASS,1173,49,8,1.0,0.33544303797468356,0.6392405063291139,0.02531645569620253,0.02531645569620253,20
POST_IB_PRE_OB,427,8,1.0,5.0,0.9472860355394861,0.004683840749414525,0.057142857142857245,0.0,0.9892269664019366,0.0,0.0,2,2,0.9069767441860465,PASS,PASS,58895,49,8,1.0,0.34543325526932084,0.7353629976580796,0.00468384074941452,0.00468384074941452,20
POST_OB_PRE_TO,17,8,1.0,5.0,0.9047619047619047,0.0,0.11764705882352944,0.0,0.9625935162094761,0.0,0.0,2,2,1.0,PASS,PASS,121,82,8,1.0,0.32352941176470584,0.6470588235294118,0.11764705882352941,0.11764705882352941,20
PRE_IB,54,8,1.0,5.0,0.9378531073446329,0.01851851851851849,0.03703703703703708,0.037037037037037035,0.9733760537056108,0.037037037037037035,0.0,2,2,1.0,PASS,PASS,545,50,8,1.0,0.1574074074074074,0.437037037037037,0.037037037037037035,0.037037037037037035,21
POST_IB_PRE_OB,341,8,1.0,5.0,0.931147767749075,0.011730205278592365,0.07917888563049852,0.0,0.9880183232794989,0.0,0.0,1,3,0.9428571428571428,PASS,PASS,33995,50,8,1.0,0.3453079178885631,0.4736070381231673,0.002932551319648094,0.008797653958944282,21
POST_OB_PRE_TO,15,8,1.0,5.0,0.9175257731958765,0.0,0.1333333333333333,0.0,0.970909090909091,0.0,0.0,1,2,0.0,PASS,PASS,96,83,8,1.0,0.30000000000000004,0.6933333333333332,0.06666666666666667,0.13333333333333333,21
PRE_IB,23,9,1.0,5.0,0.836734693877551,0.04347826086956519,0.2434782608695653,0.0,0.9225806451612902,0.0,0.0,1,1,1.0,PASS,PASS,182,60,8,0.8888888888888888,0.29347826086956524,0.55,0.043478260869565216,0.043478260869565216,22
