stage_a,stage_b,kendall_tau_b_difference,top10_overlap_difference,median_rank_displacement_difference,p90_rank_displacement_difference,median_consequence_priority_percentile_gap_difference,p90_consequence_priority_percentile_gap_difference,replicate
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.17351384244604962,-0.20128205128205134,0.03739522888459057,0.18236218568665374,-0.07803433268858795,-0.13163886202450026,17
PRE_IB,POST_IB_PRE_OB,-0.052844839399562415,-0.5103448275862069,0.036637931034482735,0.06215517241379309,0.011135057471264365,0.007794540229885016,18
PRE_IB,POST_OB_PRE_TO,-0.3354945567178217,-0.8,0.11249999999999993,0.29144736842105257,-0.04594298245614031,-0.12926535087719304,18
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.2826497173182593,-0.2896551724137931,0.0758620689655172,0.22929219600725947,-0.05707803992740468,-0.13705989110707806,18
PRE_IB,POST_IB_PRE_OB,0.018983992806286265,-0.24517816279830007,-0.015284623946573372,-0.011673822017278845,-0.03186118619812367,-0.041668654264058635,19
PRE_IB,POST_OB_PRE_TO,-0.21440326151977573,-0.36714975845410625,0.03947368421052633,0.20354864433811803,-0.1094497607655503,-0.2188795853269535,19
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.233387254326062,-0.12197159565580618,0.0547583081570997,0.21522246635539688,-0.07758857456742663,-0.17721093106289487,19
PRE_IB,POST_IB_PRE_OB,0.10501454181726466,0.06658496732026142,-0.022112860892388453,-0.05080380577427812,-0.046686351706036744,-0.09550524934383225,20
PRE_IB,POST_OB_PRE_TO,-0.2591875396516976,-0.3125,0.07500000000000001,0.25383771929824567,-0.0769736842105263,-0.18728070175438588,20
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.36420208146896227,-0.3790849673202614,0.09711286089238846,0.3046415250725238,-0.03028733250448956,-0.09177545241055363,20
PRE_IB,POST_IB_PRE_OB,0.07977814354563428,0.0729270729270729,-0.052595173116345845,-0.07630047916692878,0.017423565957767867,0.007070541923962059,21
PRE_IB,POST_OB_PRE_TO,-0.19286752693344866,-0.11538461538461542,0.03861003861003853,0.16663659654313862,-0.08447299101504716,-0.2072312633060296,21
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.27264567047908295,-0.18831168831168832,0.09120521172638438,0.2429370757100674,-0.10189655697281502,-0.21430180522999165,21
PRE_IB,POST_IB_PRE_OB,0.10789664878116689,0.21656050955414008,-0.009596729587295683,-0.09409568091014509,-0.0291453632185264,-0.03232957943413617,22
PRE_IB,POST_OB_PRE_TO,-0.16835167313520505,0.0,0.05286343612334804,0.17180616740088106,-0.09547694857591493,-0.14186330527325863,22
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.27624832191637194,-0.21656050955414008,0.06246016571064372,0.26590184831102615,-0.06633158535738853,-0.10953372583912246,22
PRE_IB,POST_IB_PRE_OB,-0.06580638229012203,0.19574340527577938,0.012347213718988226,0.1201492977968941,-0.004557560764887114,-0.014886426145140186,23
PRE_IB,POST_OB_PRE_TO,-0.2631628796956874,0.06944444444444453,0.055793991416308975,0.28088132548158495,-0.07914961573011281,-0.16833017267192335,23
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.19735649740556538,-0.12629896083133485,0.04344677769732075,0.16073202768469086,-0.0745920549652257,-0.15344374652678316,23
PRE_IB,POST_IB_PRE_OB,0.022185983088356953,-0.0019477989871444779,-0.005632538350443056,-0.022132011397790807,-0.02247550646004917,-0.07952886529528869,24
PRE_IB,POST_OB_PRE_TO,-0.258733691131394,0.010695187165775444,0.0647058823529412,0.219988577955454,-0.09406053683609361,-0.24417475728155336,24
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.28091967421975095,0.012642986152919922,0.07033842070338425,0.24212058935324482,-0.07158503037604444,-0.16464589198626467,24
PRE_IB,POST_IB_PRE_OB,-0.06092638164383757,-0.16189290161892905,0.00378588232269339,0.034824975253570534,-0.018743009937137622,-0.05099692758616248,25
PRE_IB,POST_OB_PRE_TO,-0.3191669193144844,-0.4621212121212121,0.07943925233644855,0.2789595566950625,-0.09060458192043669,-0.22347200396989497,25
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.2582405376706468,-0.30022831050228305,0.07565337001375516,0.24413458144149197,-0.07186157198329907,-0.1724750763837325,25
PRE_IB,POST_IB_PRE_OB,0.09320109809927224,-0.36061381074168797,-0.0324356073790463,-0.07989470936303522,-0.002197180647406899,-0.03558562478245719,26
PRE_IB,POST_OB_PRE_TO,-0.24451946196259755,-0.4782608695652174,0.06334841628959276,0.20682686816324736,-0.07877915916179762,-0.17539647673856673,26
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.3377205600618698,-0.11764705882352944,0.09578402366863906,0.2867215775262826,-0.07658197851439072,-0.13981085195610954,26
PRE_IB,POST_IB_PRE_OB,0.06528820201517227,0.3381294964028777,-0.041448659254414655,-0.012668410725964946,-0.0029512753433616756,-0.09365598430346639,27
PRE_IB,POST_OB_PRE_TO,-0.19529085505828336,0.0,0.034090909090909116,0.19114832535885162,-0.09958133971291872,-0.2954545454545456,27
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.26057905707345563,-0.3381294964028777,0.07553956834532377,0.20381673608481657,-0.09663006436955704,-0.2017985611510792,27
PRE_IB,POST_IB_PRE_OB,-0.06728114208788671,-0.10138248847926268,0.030936995153473312,0.043814908839141464,0.007183244864989613,0.044112047080544725,28
PRE_IB,POST_OB_PRE_TO,-0.3476166205564615,-0.014285714285714346,0.09999999999999998,0.2849206349206349,-0.07593795093795092,-0.11993145743145739,28
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.28033547846857476,0.08709677419354833,0.06906300484652667,0.24110572608149344,-0.08312119580294053,-0.16404350451200211,28
PRE_IB,POST_IB_PRE_OB,-0.0073666224779540546,-0.33088235294117646,0.01189158320154643,-0.033209453523106836,-0.029075513969425343,-0.08605693199789144,29
PRE_IB,POST_OB_PRE_TO,-0.34751732804045166,-0.3470588235294117,0.10119047619047622,0.2843701996927802,-0.059091781874039934,-0.14170506912442393,29
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.3401507055624976,-0.016176470588235237,0.08929889298892979,0.31757965321588705,-0.03001626790461459,-0.05564813712653249,29
PRE_IB,POST_IB_PRE_OB,-0.05180901891132905,-0.39179104477611937,0.015423347362264306,0.004047198240238137,-0.006592749882385895,-0.015003750937734317,30
PRE_IB,POST_OB_PRE_TO,-0.3367861799353402,-0.75,0.1016949152542373,0.2536209553158707,-0.09329738058551623,-0.17727272727272725,30
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.28497716102401116,-0.35820895522388063,0.08627156789197299,0.24957375707563256,-0.08670463070313034,-0.16226897633499293,30
PRE_IB,POST_IB_PRE_OB,-0.09836427326491481,-0.489795918367347,0.008271890605799123,0.054764425968050034,0.015543702774073853,0.05267896828509422,31
