replicate,metric,stage,status,n_nodes,n_episodes,kendall_tau_b,top10_overlap,median_rank_displacement,p90_rank_displacement,support_coverage,caliper_minutes,candidate_pairs,balanced_episode_pairs,matched_episodes,median_consequence_gap,p90_consequence_gap
14,top10_overlap,PRE_IB,PASS,10.0,3.0,0.9024390243902439,1.0,0.0,0.10999999999999996,1.0,,,,,,
14,top10_overlap,POST_IB_PRE_OB,PASS,60.0,5.0,0.9373932840068299,1.0,0.01666666666666669,0.06666666666666665,1.0,,,,,,
14,top10_overlap,POST_OB_PRE_TO,PASS,7.0,5.0,1.0,1.0,0.0,0.0,1.0,,,,,,
14,median_consequence_gap,PRE_IB,PASS,,,,,,,,5.0,32.0,3.0,3.0,0.12764966714432185,0.13674152677652
14,median_consequence_gap,POST_IB_PRE_OB,PASS,,,,,,,,5.0,1064.0,8.0,5.0,0.17514624303224485,0.3267647156076353
14,median_consequence_gap,POST_OB_PRE_TO,PASS,,,,,,,,5.0,19.0,10.0,5.0,0.15080272616500418,0.2969950663233662
15,top10_overlap,POST_IB_PRE_OB,PASS,62.0,4.0,0.8454935622317598,0.42857142857142855,0.06451612903225806,0.16129032258064518,1.0,,,,,,
15,top10_overlap,POST_OB_PRE_TO,PASS,9.0,4.0,0.9999999999999999,1.0,0.0,0.0,1.0,,,,,,
15,top10_overlap,PRE_IB,PASS,6.0,2.0,1.0,1.0,0.0,0.0,1.0,,,,,,
15,median_consequence_gap,POST_IB_PRE_OB,PASS,,,,,,,,5.0,1356.0,7.0,4.0,0.07436907966320595,0.1918006806970623
15,median_consequence_gap,POST_OB_PRE_TO,PASS,,,,,,,,5.0,28.0,6.0,4.0,0.11554663025037491,0.1979158155697307
15,median_consequence_gap,PRE_IB,PASS,,,,,,,,5.0,8.0,1.0,2.0,0.12764966714432185,0.12764966714432185
16,top10_overlap,POST_IB_PRE_OB,PASS,60.0,6.0,0.8099032441661924,1.0,0.04999999999999996,0.11500000000000021,1.0,,,,,,
16,top10_overlap,POST_OB_PRE_TO,PASS,7.0,5.0,1.0,1.0,0.0,0.0,1.0,,,,,,
16,top10_overlap,PRE_IB,PASS,10.0,2.0,0.6097560975609757,0.0,0.09999999999999999,0.16999999999999976,1.0,,,,,,
16,median_consequence_gap,POST_IB_PRE_OB,PASS,,,,,,,,5.0,988.0,14.0,6.0,0.052922968786122036,0.31627274164463
16,median_consequence_gap,POST_OB_PRE_TO,PASS,,,,,,,,5.0,19.0,10.0,5.0,0.11554663025037491,0.30190504937680884
16,median_consequence_gap,PRE_IB,PASS,,,,,,,,5.0,16.0,1.0,2.0,0.01693031461332413,0.01693031461332413
17,top10_overlap,PRE_IB,PASS,6.0,2.0,1.0,1.0,0.0,0.0,1.0,,,,,,
17,top10_overlap,POST_IB_PRE_OB,PASS,57.0,4.0,0.8212927756653993,0.5,0.07017543859649122,0.17543859649122806,1.0,,,,,,
