stage,q,method,measure,capture
POST_IB_PRE_OB,0.3,CONSEQUENCE,P_service,1.0
POST_IB_PRE_OB,0.3,CONSEQUENCE,R_operating,0.9004624994681002
POST_OB_PRE_TO,0.3,DELAY,F,0.7802560851062224
POST_OB_PRE_TO,0.3,DELAY,P,0.9117781979766261
POST_OB_PRE_TO,0.3,DELAY,R,0.7802560851062225
POST_OB_PRE_TO,0.3,DELAY,F_continuity,
POST_OB_PRE_TO,0.3,DELAY,F_execution,
POST_OB_PRE_TO,0.3,DELAY,F_propagation,0.7802560851062224
POST_OB_PRE_TO,0.3,DELAY,P_time,0.9117781979766262
POST_OB_PRE_TO,0.3,DELAY,P_itinerary,
POST_OB_PRE_TO,0.3,DELAY,P_service,
POST_OB_PRE_TO,0.3,DELAY,R_operating,0.7802560851062224
POST_OB_PRE_TO,0.3,CONSEQUENCE,F,0.7802560851062224
POST_OB_PRE_TO,0.3,CONSEQUENCE,P,0.9117781979766261
POST_OB_PRE_TO,0.3,CONSEQUENCE,R,0.7802560851062225
POST_OB_PRE_TO,0.3,CONSEQUENCE,F_continuity,
POST_OB_PRE_TO,0.3,CONSEQUENCE,F_execution,
POST_OB_PRE_TO,0.3,CONSEQUENCE,F_propagation,0.7802560851062224
POST_OB_PRE_TO,0.3,CONSEQUENCE,P_time,0.9117781979766262
POST_OB_PRE_TO,0.3,CONSEQUENCE,P_itinerary,
POST_OB_PRE_TO,0.3,CONSEQUENCE,P_service,
POST_OB_PRE_TO,0.3,CONSEQUENCE,R_operating,0.7802560851062224
PRE_IB,0.3,DELAY,F,0.5698993368295081
PRE_IB,0.3,DELAY,P,0.48556241570779796
PRE_IB,0.3,DELAY,R,0.7341947764164651
PRE_IB,0.3,DELAY,F_continuity,0.0
PRE_IB,0.3,DELAY,F_execution,0.5385423355538573
PRE_IB,0.3,DELAY,F_propagation,0.5846671853020959
PRE_IB,0.3,DELAY,P_time,0.5023757856437296
PRE_IB,0.3,DELAY,P_itinerary,0.10978488188015569
PRE_IB,0.3,DELAY,P_service,
PRE_IB,0.3,DELAY,R_operating,0.734194776416465
PRE_IB,0.3,CONSEQUENCE,F,0.5698993368295081
PRE_IB,0.3,CONSEQUENCE,P,0.48556241570779796
PRE_IB,0.3,CONSEQUENCE,R,0.7341947764164651
PRE_IB,0.3,CONSEQUENCE,F_continuity,0.0
PRE_IB,0.3,CONSEQUENCE,F_execution,0.5385423355538573
PRE_IB,0.3,CONSEQUENCE,F_propagation,0.5846671853020959
PRE_IB,0.3,CONSEQUENCE,P_time,0.5023757856437296
PRE_IB,0.3,CONSEQUENCE,P_itinerary,0.10978488188015569
PRE_IB,0.3,CONSEQUENCE,P_service,
PRE_IB,0.3,CONSEQUENCE,R_operating,0.734194776416465
