original_episode_id,decision_node_id,technical_node_id,stage,m,view_count,robust_high_consequence
sha256:6710bf2d94fd133a2e3198a219550df6575c6c9ad17177fc29515fa62236c8a5,sha256:09fb4a399e4783bea8b9dd6ced363d1806f872cb5341a6aa7e5d05bfb07db6d6,sha256:09fb4a399e4783bea8b9dd6ced363d1806f872cb5341a6aa7e5d05bfb07db6d6,POST_IB_PRE_OB,3,0,False
sha256:6c8e828f71a05c5c7ac186aeccf4963d88fd55d5ddd5ffa500dece610782031d,sha256:3a2e051d5300bc13cdeb1205da3de6f9b24d42d7dd6550f716e0fce91548828b,sha256:3a2e051d5300bc13cdeb1205da3de6f9b24d42d7dd6550f716e0fce91548828b,POST_IB_PRE_OB,3,8,True
sha256:6d39926190538294f7153287c797b64afa70e4405610e6997c682a34d71f1f39,sha256:a697bdf33f52a74a01cec25cd12fc8fc4d58be2da6afa6dbdd83b14158d11e21,sha256:a697bdf33f52a74a01cec25cd12fc8fc4d58be2da6afa6dbdd83b14158d11e21,POST_IB_PRE_OB,3,0,False
sha256:6d5af9abdb6bc0b322b30d9cad06d7471821fff96df8c14ffca52fe4ac05164c,sha256:fa6b6701bd3aec99533bd5b57b1b81370cc5d6198e4d5b2bceff9e9b31fa7aef,sha256:fa6b6701bd3aec99533bd5b57b1b81370cc5d6198e4d5b2bceff9e9b31fa7aef,POST_IB_PRE_OB,3,0,False
sha256:6eda9cdf75c1e5fb3b598b18b05d588ec3b00281457bdea1a2ea3e120aef1c48,sha256:6a46a162e77eceef1dab9958ddc81979261637ad9f9066e3c17dff34e14517dc,sha256:6a46a162e77eceef1dab9958ddc81979261637ad9f9066e3c17dff34e14517dc,POST_IB_PRE_OB,3,2,False
sha256:73d86411ce4c378261aab5edc53d9b472631a7670b7866e1d4ba5422d05430c5,sha256:db7321ea61566115b4d046859ad8c9f08261a342581051abffc60eba9f1ab415,sha256:db7321ea61566115b4d046859ad8c9f08261a342581051abffc60eba9f1ab415,POST_IB_PRE_OB,3,0,False
sha256:75a2e2b6ef83fe44f16611fe8c79c7e51553b21c5262571ea1ed1dad3a7fdc73,sha256:f2c81acd2cab99581c8ea7023e2c2329a7ca6d60eb199bdca588ecd38a718f44,sha256:f2c81acd2cab99581c8ea7023e2c2329a7ca6d60eb199bdca588ecd38a718f44,POST_IB_PRE_OB,3,0,False
sha256:79c2db204a92c4ebb042a7ed764220250a8e99df9315de602a17f5d70a620f5a,sha256:d392db5ca192f971b9632831ed75a0ca6c2cd09549b4a0d38d1e5be44efa84eb,sha256:d392db5ca192f971b9632831ed75a0ca6c2cd09549b4a0d38d1e5be44efa84eb,POST_IB_PRE_OB,3,0,False
sha256:7a303a13be87a210af44b6e4f8b454f5b3a9106f8f1e1e05d1542b20c7734aff,sha256:49a947bbf6c4f2660755734ebf1a15a609bc38e6e6117b4473a3f2332f5d145c,sha256:49a947bbf6c4f2660755734ebf1a15a609bc38e6e6117b4473a3f2332f5d145c,POST_IB_PRE_OB,3,2,False
sha256:7ad35ec0017d1bb984fe4321d99f45a61e9ab7c6f2e5020ac21656dd8bbb7c0e,sha256:e33f8c29e1afa0532a11d130b8b2d744289b9b03ad5225d5ade0d21afccb25e5,sha256:e33f8c29e1afa0532a11d130b8b2d744289b9b03ad5225d5ade0d21afccb25e5,POST_IB_PRE_OB,3,0,False
