experiment,variant,metric_id,level,value,unit,support,estimate,ci_lower,ci_upper,n_episodes,reason
EXP4,STATE_AWARE_H32,CRPS,STATE,21.12051926989929,minutes,SUPPORTED,,,,128,
EXP4,STATE_AWARE_H32,LEAD_TIME_CONTRACT,STATE,True,boolean,SUPPORTED,,,,128,FORMAL_EXP4_GRID_IS_DISTINCT_FROM_M1_MODEL_HORIZON_NO_IMPLICIT_INTERPOLATION
EXP4,STATE_AWARE_H32,FORMAL_RECOMMENDATION_AVAILABILITY,DECISION,,rate,NOT_RUN,,,,,M4_MAPPING_AND_TAIL_GATED
EXP4,STATE_AWARE_H32,E2E_P50_SECONDS,SYSTEM,,seconds,NOT_RUN,,,,,FAST_CONTRACT_RUN_NO_PIPELINE_TIMINGS
EXP4,STATE_AWARE_H32,E2E_P95_SECONDS,SYSTEM,,seconds,NOT_RUN,,,,,FAST_CONTRACT_RUN_NO_PIPELINE_TIMINGS
EXP4,STATE_AWARE_H32,E2E_P99_SECONDS,SYSTEM,,seconds,NOT_RUN,,,,,FAST_CONTRACT_RUN_NO_PIPELINE_TIMINGS
EXP4,STATE_AWARE_H32,WITHIN_60S,SYSTEM,,rate,NOT_RUN,,,,,FAST_CONTRACT_RUN_NO_PIPELINE_TIMINGS
EXP4,STATE_AWARE_H32,WITHIN_120S,SYSTEM,,rate,NOT_RUN,,,,,FAST_CONTRACT_RUN_NO_PIPELINE_TIMINGS
EXP4,STATE_AWARE_H32,WITHIN_300S,SYSTEM,,rate,NOT_RUN,,,,,FAST_CONTRACT_RUN_NO_PIPELINE_TIMINGS
EXP4,DATA1_BOUNDED_SMOKE,DATA1_DATA2_SEMANTIC_GATE,STATE,,boolean,NOT_RUN,,,,,DATA1_M1_PREDICTIVE_LABEL_PATH_UNAVAILABLE_BY_CONTRACT
