target,replicate,History_MAE,Current_MAE,Delta_MAE,History_P90AE,Current_P90AE,History_R_IB_finite_support_CRPS,Current_R_IB_finite_support_CRPS,Delta_R_IB_finite_support_CRPS
R_IB,16,24.841019540785197,24.027395365401908,0.8136241753832874,61.377616470974374,61.091927306167584,21.80934456077712,22.03154024244135,-0.22219568166422599
R_IB,17,25.177116008408337,27.514863639267215,-2.337747630858883,68.14671739429008,77.47697778507087,21.239297242467043,25.582721792006495,-4.343424549539454
R_IB,18,23.681547851426295,24.389613271512097,-0.7080654200858046,61.99236380644823,66.5176240030982,20.50289900132274,22.480526061490306,-1.977627060167567
R_IB,19,17.595059118207445,18.27427409698021,-0.6792149787727686,40.319361484844634,53.585969928681656,13.732206194107674,16.39165368074945,-2.6594474866417777
D_OB,0,9.659802018025589,9.688440102705243,-0.02863808467965503,26.0,25.684565234184266,,,
D_OB,1,7.279547357423739,7.304735705256462,-0.0251883478327231,23.0,23.0,,,
D_OB,2,5.842351334136829,5.865624662554055,-0.02327332841722589,23.0,23.0,,,
D_OB,3,6.9468763243515514,6.981929279502156,-0.03505295515060425,23.0,23.0,,,
D_OB,4,6.1633097441480675,6.187651808130787,-0.024342063982719042,23.0,23.0,,,
D_OB,5,9.842493297587131,9.907545198064707,-0.06505190047757556,26.0,26.0,,,
D_OB,6,9.713110691160141,9.75539553831647,-0.042284847156329616,23.0,23.0,,,
D_OB,7,5.99245508096668,5.995815738843274,-0.003360657876594417,20.0,20.0,,,
D_OB,8,8.166891891891892,8.216103449866578,-0.049211557974686494,23.0,23.0,,,
D_OB,9,9.003276544217846,9.014365470894724,-0.011088926676878795,26.0,26.0,,,
D_OB,10,6.260163001883357,6.299300957201722,-0.03913795531836531,15.0,15.0,,,
D_OB,11,5.529365321882176,5.5409498850962615,-0.011584563214084943,15.0,15.0,,,
D_OB,12,8.592408214063472,8.571873406853525,0.020534807209947797,23.0,23.0,,,
D_OB,13,12.004670394401924,12.073518817185187,-0.06884842278326259,23.0,23.0,,,
D_OB,14,6.963273431991718,6.969143961152199,-0.00587052916048029,26.0,26.0,,,
D_OB,15,7.840866873065015,7.847997106044285,-0.007130232979269588,24.0,24.0,,,
D_OB,16,8.920540605908583,8.997987565730206,-0.07744695982162368,23.0,23.0,,,
D_OB,17,5.3539979447229324,5.385524126679784,-0.031526181956851716,13.0,13.0,,,
D_OB,18,8.111570247933884,8.110133858188687,0.0014363897451965982,23.0,23.0,,,
D_OB,19,6.425724495317518,6.432531248509269,-0.006806753191751303,19.0,19.0,,,
D_TX,0,5.101522590007101,4.95,0.15152259000710078,11.0,11.0,,,
D_TX,1,4.838918210985313,4.751735184196476,0.0871830267888368,11.0,11.0,,,
D_TX,2,3.2767629704848753,3.1734104046242773,0.10335256586059795,10.0,10.0,,,
D_TX,3,5.278093719702416,5.350634371395617,-0.07254065169320112,11.0,11.0,,,
D_TX,4,5.332221100423243,5.2524675324675325,0.07975356795571067,11.0,11.0,,,
D_TX,5,7.08054568896992,7.112373737373737,-0.03182804840381699,18.0,18.0,,,
D_TX,6,4.85554040814729,4.806614349775785,0.0489260583715054,11.0,11.0,,,
D_TX,7,4.085169875237249,3.978885630498534,0.10628424473871584,9.0,9.0,,,
D_TX,8,6.610038677800964,6.478757133798351,0.13128154400261277,11.0,11.0,,,
D_TX,9,5.368516193938426,5.35799522673031,0.010520967208115753,11.0,11.0,,,
D_TX,10,5.050472653850686,5.201527614571093,-0.15105496072040742,9.0,10.0,,,
D_TX,11,3.767113357242289,3.683141131246568,0.08397222599572103,8.0,9.0,,,
D_TX,12,5.595842188144165,5.624484991171277,-0.02864280302711204,11.0,11.0,,,
D_TX,13,6.758976431993338,6.6520710059171595,0.10690542607617802,11.0,11.0,,,
D_TX,14,4.418194502789453,4.52317880794702,-0.1049843051575667,9.0,10.0,,,
D_TX,15,5.806791053614884,5.594626168224299,0.2121648853905847,11.0,11.0,,,
D_TX,16,5.453435295946289,5.311178247734139,0.14225704821214935,11.0,11.0,,,
D_TX,17,3.520245652976216,3.6691449814126393,-0.14889932843642353,9.0,10.0,,,
D_TX,18,4.886311688009097,4.891316526610645,-0.005004838601547797,13.478731155395508,14.0,,,
D_TX,19,7.002888356912427,6.991463414634146,0.011424942278280491,13.733492136001587,16.0,,,
