stage_a,stage_b,kendall_tau_b_difference,top10_overlap_difference,median_rank_displacement_difference,p90_rank_displacement_difference,median_consequence_priority_percentile_gap_difference,p90_consequence_priority_percentile_gap_difference,replicate
PRE_IB,POST_OB_PRE_TO,0.0,0.0,0.0,0.0,,,10
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.11606217616580305,-0.25,0.05194805194805191,0.12987012987012989,-0.07720057720057716,-0.1212121212121211,10
PRE_IB,POST_IB_PRE_OB,-0.11298938894987187,0.1428571428571429,0.0008196721311475863,0.14803278688524574,0.1204918032786885,0.08565573770491791,11
PRE_IB,POST_OB_PRE_TO,-0.2666666666666667,0.0,0.04999999999999999,0.22999999999999987,-0.025000000000000022,-0.17500000000000027,11
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.15367727771679485,-0.1428571428571429,0.0491803278688524,0.08196721311475413,-0.14549180327868852,-0.2606557377049182,11
PRE_IB,POST_IB_PRE_OB,-0.08169067475360114,0.0,-0.038461538461538436,0.06025641025641032,-0.025641025641025605,-0.08333333333333337,12
PRE_IB,POST_OB_PRE_TO,-0.25,0.0,0.0,0.2333333333333334,-0.00833333333333336,-0.1233333333333333,12
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.16830932524639886,0.0,0.038461538461538436,0.17307692307692307,0.017307692307692246,-0.039999999999999925,12
PRE_IB,POST_IB_PRE_OB,0.13777777777777767,0.1428571428571429,-0.05882352941176472,-0.11764705882352944,0.19852941176470584,-0.20588235294117652,13
PRE_IB,POST_OB_PRE_TO,1.1102230246251565e-16,0.0,0.0,0.0,0.05555555555555558,-0.2777777777777777,13
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.13777777777777755,-0.1428571428571429,0.05882352941176472,0.11764705882352944,-0.14297385620915026,-0.07189542483660116,13
PRE_IB,POST_IB_PRE_OB,-0.034954259616585936,0.0,-0.01666666666666667,0.04333333333333329,0.1416666666666666,0.07499999999999996,14
PRE_IB,POST_OB_PRE_TO,-0.09756097560975607,0.0,0.0,0.10999999999999995,0.0928571428571428,0.02857142857142858,14
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.06260671599317014,0.0,0.01666666666666667,0.06666666666666665,-0.0488095238095238,-0.046428571428571375,14
PRE_IB,POST_IB_PRE_OB,0.15450643776824025,0.1428571428571429,-0.06451612903225806,-0.16129032258064524,0.14516129032258068,-0.17741935483870974,15
PRE_IB,POST_OB_PRE_TO,1.1102230246251565e-16,0.0,0.0,0.0,0.16666666666666669,-0.1777777777777778,15
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.15450643776824013,-0.1428571428571429,0.06451612903225806,0.16129032258064524,0.021505376344086002,-0.00035842293906807043,15
PRE_IB,POST_IB_PRE_OB,-0.2001471466052167,-1.0,0.049999999999999975,0.05499999999999952,0.1833333333333333,-0.12250000000000016,16
PRE_IB,POST_OB_PRE_TO,-0.3902439024390243,-1.0,0.09999999999999998,0.1699999999999997,0.021428571428571408,-0.29285714285714315,16
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.19009675583380758,0.0,0.05,0.11500000000000019,-0.16190476190476188,-0.17035714285714298,16
PRE_IB,POST_IB_PRE_OB,0.17870722433460073,0.0,-0.07017543859649122,-0.1754385964912281,0.19298245614035092,-0.00877192982456143,17
PRE_IB,POST_OB_PRE_TO,0.0,0.0,0.0,0.0,0.0,-0.20000000000000018,17
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.17870722433460073,0.0,0.07017543859649122,0.1754385964912281,-0.19298245614035092,-0.19122807017543875,17
PRE_IB,POST_IB_PRE_OB,-0.30017933049946854,0.1428571428571429,0.12499999999999997,0.33709677419354844,0.021505376344086002,0.04166666666666674,18
PRE_IB,POST_OB_PRE_TO,-0.34375,0.0,0.12499999999999997,0.4,-0.06547619047619058,-0.1511904761904762,18
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.043570669500531456,-0.1428571428571429,0.0,0.06290322580645155,-0.08698156682027658,-0.19285714285714295,18
PRE_IB,POST_IB_PRE_OB,-0.034089224840669896,1.0,-0.06818181818181815,0.043939393939394056,-0.1742424242424242,-0.34090909090909094,19
PRE_IB,POST_OB_PRE_TO,-0.3076923076923076,0.0,0.08333333333333334,0.31666666666666676,-0.125,-0.3500000000000001,19
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.2736030828516377,-1.0,0.1515151515151515,0.2727272727272727,0.0492424242424242,-0.00909090909090915,19
