stage,n_nodes,n_episodes,support_coverage,caliper_minutes,kendall_tau_b,median_rank_displacement,p90_rank_displacement,share_rank_displacement_ge_030,spearman_rho,share_signed_ge_030,share_signed_le_minus030,delay_boundary_tie_count,consequence_boundary_tie_count,top10_overlap,status,heterogeneity_status,candidate_pairs,balanced_episode_pairs,matched_episodes,match_coverage,median_consequence_priority_percentile_gap,p90_consequence_priority_percentile_gap,delay_boundary_tie_fraction,consequence_boundary_tie_fraction,replicate
PRE_IB,6,2,1.0,5.0,1.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,2,2,1.0,PASS,PASS,8,2,2.0,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,15
POST_IB_PRE_OB,62,4,1.0,5.0,0.8454935622317598,0.06451612903225806,0.16129032258064524,0.0,0.9354903739542386,0.0,0.0,2,2,0.8571428571428571,PASS,PASS,1356,18,4.0,1.0,0.3548387096774193,0.6774193548387097,0.03225806451612903,0.03225806451612903,15
POST_OB_PRE_TO,9,4,1.0,5.0,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,2,2,1.0,PASS,PASS,28,18,4.0,1.0,0.3333333333333333,0.6777777777777778,0.2222222222222222,0.2222222222222222,15
PRE_IB,10,2,1.0,5.0,0.6097560975609757,0.09999999999999998,0.1699999999999997,0.1,0.5527950310559006,0.1,0.0,2,1,0.0,PASS,PASS,16,2,2.0,1.0,0.44999999999999996,0.44999999999999996,0.2,0.1,16
POST_IB_PRE_OB,60,6,1.0,5.0,0.8099032441661924,0.05,0.11500000000000019,0.08333333333333333,0.8715846235094643,0.08333333333333333,0.0,1,1,1.0,PASS,PASS,988,22,6.0,1.0,0.26666666666666666,0.5725000000000001,0.016666666666666666,0.016666666666666666,16
POST_OB_PRE_TO,7,5,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1.0,PASS,PASS,19,14,5.0,1.0,0.42857142857142855,0.7428571428571431,0.14285714285714285,0.14285714285714285,16
PRE_IB,6,2,1.0,5.0,1.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,1,1,1.0,PASS,PASS,8,2,2.0,1.0,0.5,0.5,0.16666666666666666,0.16666666666666666,17
POST_IB_PRE_OB,57,4,1.0,5.0,0.8212927756653993,0.07017543859649122,0.1754385964912281,0.0,0.9217848109475324,0.0,0.0,2,2,1.0,PASS,PASS,704,11,4.0,1.0,0.3070175438596491,0.5087719298245614,0.03508771929824561,0.03508771929824561,17
POST_OB_PRE_TO,6,4,1.0,5.0,1.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,2,2,1.0,PASS,PASS,13,13,4.0,1.0,0.5,0.7000000000000002,0.3333333333333333,0.3333333333333333,17
PRE_IB,12,4,1.0,5.0,0.65625,0.12499999999999997,0.4,0.16666666666666666,0.7464788732394365,0.16666666666666666,0.0,1,1,1.0,PASS,PASS,52,9,4.0,1.0,0.29166666666666663,0.5416666666666667,0.08333333333333333,0.08333333333333333,18
POST_IB_PRE_OB,62,6,1.0,5.0,0.9564293304994685,0.0,0.06290322580645155,0.0,0.9934512115258677,0.0,0.0,1,1,0.8571428571428571,PASS,PASS,1153,16,6.0,1.0,0.2701612903225806,0.5,0.016129032258064516,0.016129032258064516,18
POST_OB_PRE_TO,7,5,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1.0,PASS,PASS,19,14,5.0,1.0,0.3571428571428572,0.692857142857143,0.14285714285714285,0.14285714285714285,18
PRE_IB,12,2,1.0,5.0,0.6923076923076924,0.08333333333333334,0.31666666666666676,0.16666666666666666,0.8181818181818182,0.16666666666666666,0.0,4,4,1.0,PASS,PASS,32,8,2.0,1.0,0.25,0.25,0.3333333333333333,0.3333333333333333,19
POST_IB_PRE_OB,33,3,1.0,5.0,0.7263969171483623,0.1515151515151515,0.2727272727272727,0.06060606060606061,0.8553974895397489,0.06060606060606061,0.0,1,1,0.0,PASS,PASS,326,5,3.0,1.0,0.4242424242424242,0.5909090909090909,0.030303030303030304,0.030303030303030304,19
POST_OB_PRE_TO,4,3,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1.0,PASS,PASS,5,5,3.0,1.0,0.375,0.6000000000000001,0.25,0.25,19
