H,seed,target,n_active,n_coverage,mae,median_ae,p90_ae,crps,crps_status,crps_n,zero_probability_gap,brier_zero,cov50,cov80,cov90,cov90_status,w50,w80,w90,ace50,ace80,ace90,mean_ace,coverage_volatility_sd50,coverage_volatility_sd80,coverage_volatility_sd90,coverage_max_abs_deviation
32,20260814,D_TX,1765,895,4.828895,1.0,11.0,,NOT_DEFINED_FROZEN_CONTRACT,0,0.023803,0.250396,0.246927,0.365363,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.344973,3.944756,,0.253073,0.434637,,0.343855,0.082335,0.147975,,0.589116
32,20260815,T_IB_REMAINING_HAZARD,217,217,22.642203,15.87795,48.878263,17.113173,T_IB_FINITE_SUPPORT,217,,,0.285714,0.543779,0.626728,,21.56682,41.129032,53.778802,0.214286,0.256221,0.273272,0.247926,0.25129,0.3388,0.353979,0.9
32,20260815,D_OB,1671,639,7.497618,0.0,23.0,,NOT_DEFINED_FROZEN_CONTRACT,0,0.043461,0.241651,0.181534,0.253521,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.270505,3.778002,,0.318466,0.546479,,0.432473,0.110999,0.176456,,0.8
32,20260815,D_TX,1765,895,4.828895,1.0,11.0,,NOT_DEFINED_FROZEN_CONTRACT,0,0.049754,0.253337,0.244693,0.32514,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.356351,3.428055,,0.255307,0.47486,,0.365084,0.084495,0.108868,,0.541497
32,20260816,T_IB_REMAINING_HAZARD,217,217,21.790976,14.374856,47.873911,16.843182,T_IB_FINITE_SUPPORT,217,,,0.317972,0.56682,0.64977,,19.585253,38.317972,48.617512,0.182028,0.23318,0.25023,0.221813,0.226186,0.323634,0.327779,0.9
32,20260816,D_OB,1671,639,7.607603,0.0,23.0,,NOT_DEFINED_FROZEN_CONTRACT,0,0.157191,0.295235,0.150235,0.233177,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.029735,3.435803,,0.349765,0.566823,,0.458294,0.088985,0.154084,,0.8
32,20260816,D_TX,1765,895,4.874156,1.0,11.0,,NOT_DEFINED_FROZEN_CONTRACT,0,0.073584,0.257266,0.246927,0.351955,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.604788,3.709326,,0.253073,0.448045,,0.350559,0.082335,0.134868,,0.541497
32,20260817,T_IB_REMAINING_HAZARD,217,217,21.787336,11.799117,54.653074,18.277124,T_IB_FINITE_SUPPORT,217,,,0.331797,0.502304,0.562212,,15.092166,24.493088,31.543779,0.168203,0.297696,0.337788,0.267896,0.214399,0.325522,0.369318,0.9
32,20260817,D_OB,1671,639,7.444644,0.0,23.0,,NOT_DEFINED_FROZEN_CONTRACT,0,0.058796,0.241222,0.14554,0.206573,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.974727,3.273237,,0.35446,0.593427,,0.473944,0.082806,0.13369,,0.8
32,20260817,D_TX,1765,895,4.848723,1.0,11.0,,NOT_DEFINED_FROZEN_CONTRACT,0,0.109467,0.259345,0.246927,0.349721,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.327485,4.130094,,0.253073,0.450279,,0.351676,0.082335,0.120679,,0.49708
