H,seed,target,scope,lead_minutes,nominal,empirical_coverage,ace,width,n,status
8,20260817,D_OB,LEAD,120,0.9,,,,72,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260817,D_OB,LEAD,180,0.5,0.0,0.5,1.934477,18,DEFINED
8,20260817,D_OB,LEAD,180,0.8,0.0,0.8,3.095243,18,DEFINED
8,20260817,D_OB,LEAD,180,0.9,,,,18,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260817,D_OB,LEAD,240,0.5,0.0,0.5,1.852857,12,DEFINED
8,20260817,D_OB,LEAD,240,0.8,0.0,0.8,2.993882,12,DEFINED
8,20260817,D_OB,LEAD,240,0.9,,,,12,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260817,D_OB,LEAD,300,0.5,0.0,0.5,1.817753,9,DEFINED
8,20260817,D_OB,LEAD,300,0.8,0.0,0.8,2.991419,9,DEFINED
8,20260817,D_OB,LEAD,300,0.9,,,,9,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260817,D_OB,OVERALL,,0.5,0.150235,0.349765,2.050274,639,DEFINED
8,20260817,D_OB,OVERALL,,0.8,0.183099,0.616901,3.168974,639,DEFINED
8,20260817,D_OB,OVERALL,,0.9,,,,639,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260817,D_TX,LEAD,0,0.5,0.404255,0.095745,2.384986,47,DEFINED
8,20260817,D_TX,LEAD,0,0.8,0.659574,0.140426,4.003488,47,DEFINED
8,20260817,D_TX,LEAD,0,0.9,,,,47,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260817,D_TX,LEAD,30,0.5,0.232639,0.267361,2.333751,288,DEFINED
8,20260817,D_TX,LEAD,30,0.8,0.423611,0.376389,3.914111,288,DEFINED
8,20260817,D_TX,LEAD,30,0.9,,,,288,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260817,D_TX,LEAD,60,0.5,0.156934,0.343066,2.236063,274,DEFINED
8,20260817,D_TX,LEAD,60,0.8,0.291971,0.508029,3.754942,274,DEFINED
8,20260817,D_TX,LEAD,60,0.9,,,,274,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260817,D_TX,LEAD,120,0.5,0.142857,0.357143,2.196509,147,DEFINED
8,20260817,D_TX,LEAD,120,0.8,0.251701,0.548299,3.691579,147,DEFINED
8,20260817,D_TX,LEAD,120,0.9,,,,147,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260817,D_TX,LEAD,180,0.5,0.272727,0.227273,2.294444,44,DEFINED
8,20260817,D_TX,LEAD,180,0.8,0.363636,0.436364,3.879193,44,DEFINED
8,20260817,D_TX,LEAD,180,0.9,,,,44,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260817,D_TX,LEAD,240,0.5,0.363636,0.136364,2.234122,33,DEFINED
8,20260817,D_TX,LEAD,240,0.8,0.363636,0.436364,3.774645,33,DEFINED
8,20260817,D_TX,LEAD,240,0.9,,,,33,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260817,D_TX,LEAD,300,0.5,0.368421,0.131579,2.114129,19,DEFINED
8,20260817,D_TX,LEAD,300,0.8,0.368421,0.431579,3.558266,19,DEFINED
8,20260817,D_TX,LEAD,300,0.9,,,,19,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260817,D_TX,OVERALL,,0.5,0.21676,0.28324,2.272909,895,DEFINED
8,20260817,D_TX,OVERALL,,0.8,0.364246,0.435754,3.819672,895,DEFINED
8,20260817,D_TX,OVERALL,,0.9,,,,895,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260813,T_IB_REMAINING_HAZARD,LEAD,0,0.5,0.425743,0.074257,9.207921,101,DEFINED
16,20260813,T_IB_REMAINING_HAZARD,LEAD,0,0.8,0.752475,0.047525,24.059406,101,DEFINED
16,20260813,T_IB_REMAINING_HAZARD,LEAD,0,0.9,0.792079,0.107921,33.663366,101,DEFINED
16,20260813,T_IB_REMAINING_HAZARD,LEAD,30,0.5,0.123077,0.376923,7.692308,65,DEFINED
16,20260813,T_IB_REMAINING_HAZARD,LEAD,30,0.8,0.461538,0.338462,23.615385,65,DEFINED
16,20260813,T_IB_REMAINING_HAZARD,LEAD,30,0.9,0.738462,0.161538,34.153846,65,DEFINED
16,20260813,T_IB_REMAINING_HAZARD,LEAD,60,0.5,0.0,0.5,10.128205,39,DEFINED
16,20260813,T_IB_REMAINING_HAZARD,LEAD,60,0.8,0.0,0.8,25.128205,39,DEFINED
16,20260813,T_IB_REMAINING_HAZARD,LEAD,60,0.9,0.0,0.9,36.025641,39,DEFINED
16,20260813,T_IB_REMAINING_HAZARD,LEAD,120,0.5,0.0,0.5,2.5,12,DEFINED
16,20260813,T_IB_REMAINING_HAZARD,LEAD,120,0.8,0.0,0.8,11.25,12,DEFINED
16,20260813,T_IB_REMAINING_HAZARD,LEAD,120,0.9,0.0,0.9,17.916667,12,DEFINED
16,20260813,T_IB_REMAINING_HAZARD,OVERALL,,0.5,0.235023,0.264977,8.548387,217,DEFINED
16,20260813,T_IB_REMAINING_HAZARD,OVERALL,,0.8,0.488479,0.311521,23.410138,217,DEFINED
16,20260813,T_IB_REMAINING_HAZARD,OVERALL,,0.9,0.589862,0.310138,33.364055,217,DEFINED
16,20260813,D_OB,LEAD,0,0.5,0.231884,0.268116,1.828959,69,DEFINED
16,20260813,D_OB,LEAD,0,0.8,0.405797,0.394203,3.121668,69,DEFINED
16,20260813,D_OB,LEAD,0,0.9,,,,69,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260813,D_OB,LEAD,30,0.5,0.142259,0.357741,1.835855,239,DEFINED
16,20260813,D_OB,LEAD,30,0.8,0.230126,0.569874,3.128479,239,DEFINED
16,20260813,D_OB,LEAD,30,0.9,,,,239,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260813,D_OB,LEAD,60,0.5,0.159091,0.340909,1.871055,220,DEFINED
16,20260813,D_OB,LEAD,60,0.8,0.172727,0.627273,3.167692,220,DEFINED
16,20260813,D_OB,LEAD,60,0.9,,,,220,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260813,D_OB,LEAD,120,0.5,0.152778,0.347222,1.791603,72,DEFINED
16,20260813,D_OB,LEAD,120,0.8,0.152778,0.647222,3.06191,72,DEFINED
16,20260813,D_OB,LEAD,120,0.9,,,,72,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260813,D_OB,LEAD,180,0.5,0.0,0.5,1.855732,18,DEFINED
16,20260813,D_OB,LEAD,180,0.8,0.0,0.8,3.150032,18,DEFINED
16,20260813,D_OB,LEAD,180,0.9,,,,18,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260813,D_OB,LEAD,240,0.5,0.0,0.5,1.978087,12,DEFINED
16,20260813,D_OB,LEAD,240,0.8,0.0,0.8,3.277754,12,DEFINED
16,20260813,D_OB,LEAD,240,0.9,,,,12,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260813,D_OB,LEAD,300,0.5,0.0,0.5,1.978795,9,DEFINED
16,20260813,D_OB,LEAD,300,0.8,0.0,0.8,3.273198,9,DEFINED
16,20260813,D_OB,LEAD,300,0.9,,,,9,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260813,D_OB,OVERALL,,0.5,0.150235,0.349765,1.847487,639,DEFINED
16,20260813,D_OB,OVERALL,,0.8,0.206573,0.593427,3.139192,639,DEFINED
16,20260813,D_OB,OVERALL,,0.9,,,,639,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260813,D_TX,LEAD,0,0.5,0.425532,0.074468,2.485741,47,DEFINED
16,20260813,D_TX,LEAD,0,0.8,0.808511,0.008511,3.952388,47,DEFINED
16,20260813,D_TX,LEAD,0,0.9,,,,47,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260813,D_TX,LEAD,30,0.5,0.253472,0.246528,2.49411,288,DEFINED
16,20260813,D_TX,LEAD,30,0.8,0.458333,0.341667,3.980771,288,DEFINED
16,20260813,D_TX,LEAD,30,0.9,,,,288,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260813,D_TX,LEAD,60,0.5,0.189781,0.310219,2.485596,274,DEFINED
16,20260813,D_TX,LEAD,60,0.8,0.324818,0.475182,4.001204,274,DEFINED
16,20260813,D_TX,LEAD,60,0.9,,,,274,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260813,D_TX,LEAD,120,0.5,0.197279,0.302721,2.466777,147,DEFINED
16,20260813,D_TX,LEAD,120,0.8,0.258503,0.541497,3.997293,147,DEFINED
16,20260813,D_TX,LEAD,120,0.9,,,,147,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260813,D_TX,LEAD,180,0.5,0.272727,0.227273,2.440255,44,DEFINED
16,20260813,D_TX,LEAD,180,0.8,0.272727,0.527273,3.930162,44,DEFINED
16,20260813,D_TX,LEAD,180,0.9,,,,44,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260813,D_TX,LEAD,240,0.5,0.363636,0.136364,2.44749,33,DEFINED
16,20260813,D_TX,LEAD,240,0.8,0.363636,0.436364,3.990323,33,DEFINED
16,20260813,D_TX,LEAD,240,0.9,,,,33,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260813,D_TX,LEAD,300,0.5,0.368421,0.131579,2.432181,19,DEFINED
16,20260813,D_TX,LEAD,300,0.8,0.368421,0.431579,4.055515,19,DEFINED
16,20260813,D_TX,LEAD,300,0.9,,,,19,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260813,D_TX,OVERALL,,0.5,0.244693,0.255307,2.482451,895,DEFINED
16,20260813,D_TX,OVERALL,,0.8,0.388827,0.411173,3.989685,895,DEFINED
16,20260813,D_TX,OVERALL,,0.9,,,,895,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260814,T_IB_REMAINING_HAZARD,LEAD,0,0.5,0.663366,0.163366,13.415842,101,DEFINED
16,20260814,T_IB_REMAINING_HAZARD,LEAD,0,0.8,0.792079,0.007921,24.009901,101,DEFINED
16,20260814,T_IB_REMAINING_HAZARD,LEAD,0,0.9,0.792079,0.107921,30.594059,101,DEFINED
16,20260814,T_IB_REMAINING_HAZARD,LEAD,30,0.5,0.138462,0.361538,13.384615,65,DEFINED
16,20260814,T_IB_REMAINING_HAZARD,LEAD,30,0.8,0.538462,0.261538,24.230769,65,DEFINED
16,20260814,T_IB_REMAINING_HAZARD,LEAD,30,0.9,0.723077,0.176923,30.538462,65,DEFINED
16,20260814,T_IB_REMAINING_HAZARD,LEAD,60,0.5,0.0,0.5,14.615385,39,DEFINED
16,20260814,T_IB_REMAINING_HAZARD,LEAD,60,0.8,0.0,0.8,26.025641,39,DEFINED
16,20260814,T_IB_REMAINING_HAZARD,LEAD,60,0.9,0.0,0.9,31.282051,39,DEFINED
16,20260814,T_IB_REMAINING_HAZARD,LEAD,120,0.5,0.0,0.5,14.166667,12,DEFINED
16,20260814,T_IB_REMAINING_HAZARD,LEAD,120,0.8,0.0,0.8,22.083333,12,DEFINED
16,20260814,T_IB_REMAINING_HAZARD,LEAD,120,0.9,0.0,0.9,29.583333,12,DEFINED
16,20260814,T_IB_REMAINING_HAZARD,OVERALL,,0.5,0.35023,0.14977,13.663594,217,DEFINED
16,20260814,T_IB_REMAINING_HAZARD,OVERALL,,0.8,0.529954,0.270046,24.331797,217,DEFINED
16,20260814,T_IB_REMAINING_HAZARD,OVERALL,,0.9,0.585253,0.314747,30.645161,217,DEFINED
16,20260814,D_OB,LEAD,0,0.5,0.231884,0.268116,1.715687,69,DEFINED
16,20260814,D_OB,LEAD,0,0.8,0.304348,0.495652,2.945022,69,DEFINED
16,20260814,D_OB,LEAD,0,0.9,,,,69,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260814,D_OB,LEAD,30,0.5,0.142259,0.357741,1.720893,239,DEFINED
16,20260814,D_OB,LEAD,30,0.8,0.188285,0.611715,2.953747,239,DEFINED
16,20260814,D_OB,LEAD,30,0.9,,,,239,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260814,D_OB,LEAD,60,0.5,0.159091,0.340909,1.731194,220,DEFINED
16,20260814,D_OB,LEAD,60,0.8,0.168182,0.631818,2.949172,220,DEFINED
16,20260814,D_OB,LEAD,60,0.9,,,,220,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260814,D_OB,LEAD,120,0.5,0.152778,0.347222,1.758568,72,DEFINED
16,20260814,D_OB,LEAD,120,0.8,0.152778,0.647222,2.961935,72,DEFINED
16,20260814,D_OB,LEAD,120,0.9,,,,72,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260814,D_OB,LEAD,180,0.5,0.0,0.5,1.778556,18,DEFINED
16,20260814,D_OB,LEAD,180,0.8,0.0,0.8,2.983017,18,DEFINED
16,20260814,D_OB,LEAD,180,0.9,,,,18,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260814,D_OB,LEAD,240,0.5,0.0,0.5,1.771829,12,DEFINED
16,20260814,D_OB,LEAD,240,0.8,0.0,0.8,2.989771,12,DEFINED
16,20260814,D_OB,LEAD,240,0.9,,,,12,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260814,D_OB,LEAD,300,0.5,0.0,0.5,1.782337,9,DEFINED
16,20260814,D_OB,LEAD,300,0.8,0.0,0.8,2.999357,9,DEFINED
16,20260814,D_OB,LEAD,300,0.9,,,,9,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260814,D_OB,OVERALL,,0.5,0.150235,0.349765,1.731569,639,DEFINED
16,20260814,D_OB,OVERALL,,0.8,0.178404,0.621596,2.954296,639,DEFINED
16,20260814,D_OB,OVERALL,,0.9,,,,639,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260814,D_TX,LEAD,0,0.5,0.404255,0.095745,1.855384,47,DEFINED
16,20260814,D_TX,LEAD,0,0.8,0.617021,0.182979,3.032626,47,DEFINED
16,20260814,D_TX,LEAD,0,0.9,,,,47,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260814,D_TX,LEAD,30,0.5,0.232639,0.267361,1.862452,288,DEFINED
16,20260814,D_TX,LEAD,30,0.8,0.354167,0.445833,3.020569,288,DEFINED
16,20260814,D_TX,LEAD,30,0.9,,,,288,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260814,D_TX,LEAD,60,0.5,0.156934,0.343066,1.895689,274,DEFINED
16,20260814,D_TX,LEAD,60,0.8,0.226277,0.573723,3.051856,274,DEFINED
16,20260814,D_TX,LEAD,60,0.9,,,,274,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260814,D_TX,LEAD,120,0.5,0.142857,0.357143,1.905426,147,DEFINED
16,20260814,D_TX,LEAD,120,0.8,0.190476,0.609524,3.064402,147,DEFINED
16,20260814,D_TX,LEAD,120,0.9,,,,147,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260814,D_TX,LEAD,180,0.5,0.272727,0.227273,1.804338,44,DEFINED
16,20260814,D_TX,LEAD,180,0.8,0.272727,0.527273,2.948652,44,DEFINED
16,20260814,D_TX,LEAD,180,0.9,,,,44,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260814,D_TX,LEAD,240,0.5,0.363636,0.136364,1.794856,33,DEFINED
16,20260814,D_TX,LEAD,240,0.8,0.363636,0.436364,2.911136,33,DEFINED
16,20260814,D_TX,LEAD,240,0.9,,,,33,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260814,D_TX,LEAD,300,0.5,0.368421,0.131579,1.853774,19,DEFINED
16,20260814,D_TX,LEAD,300,0.8,0.368421,0.431579,2.955999,19,DEFINED
16,20260814,D_TX,LEAD,300,0.9,,,,19,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260814,D_TX,OVERALL,,0.5,0.21676,0.28324,1.874311,895,DEFINED
16,20260814,D_TX,OVERALL,,0.8,0.299441,0.500559,3.028637,895,DEFINED
16,20260814,D_TX,OVERALL,,0.9,,,,895,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260815,T_IB_REMAINING_HAZARD,LEAD,0,0.5,0.267327,0.232673,6.732673,101,DEFINED
16,20260815,T_IB_REMAINING_HAZARD,LEAD,0,0.8,0.39604,0.40396,10.940594,101,DEFINED
16,20260815,T_IB_REMAINING_HAZARD,LEAD,0,0.9,0.465347,0.434653,12.970297,101,DEFINED
16,20260815,T_IB_REMAINING_HAZARD,LEAD,30,0.5,0.169231,0.330769,6.769231,65,DEFINED
16,20260815,T_IB_REMAINING_HAZARD,LEAD,30,0.8,0.246154,0.553846,11.076923,65,DEFINED
16,20260815,T_IB_REMAINING_HAZARD,LEAD,30,0.9,0.323077,0.576923,13.615385,65,DEFINED
16,20260815,T_IB_REMAINING_HAZARD,LEAD,60,0.5,0.0,0.5,6.923077,39,DEFINED
16,20260815,T_IB_REMAINING_HAZARD,LEAD,60,0.8,0.0,0.8,13.461538,39,DEFINED
16,20260815,T_IB_REMAINING_HAZARD,LEAD,60,0.9,0.0,0.9,14.487179,39,DEFINED
16,20260815,T_IB_REMAINING_HAZARD,LEAD,120,0.5,0.0,0.5,5.0,12,DEFINED
16,20260815,T_IB_REMAINING_HAZARD,LEAD,120,0.8,0.0,0.8,7.083333,12,DEFINED
16,20260815,T_IB_REMAINING_HAZARD,LEAD,120,0.9,0.0,0.9,7.916667,12,DEFINED
16,20260815,T_IB_REMAINING_HAZARD,OVERALL,,0.5,0.175115,0.324885,6.682028,217,DEFINED
16,20260815,T_IB_REMAINING_HAZARD,OVERALL,,0.8,0.258065,0.541935,11.221198,217,DEFINED
16,20260815,T_IB_REMAINING_HAZARD,OVERALL,,0.9,0.313364,0.586636,13.156682,217,DEFINED
16,20260815,D_OB,LEAD,0,0.5,0.231884,0.268116,2.007246,69,DEFINED
16,20260815,D_OB,LEAD,0,0.8,0.391304,0.408696,3.067784,69,DEFINED
16,20260815,D_OB,LEAD,0,0.9,,,,69,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260815,D_OB,LEAD,30,0.5,0.142259,0.357741,2.003429,239,DEFINED
16,20260815,D_OB,LEAD,30,0.8,0.230126,0.569874,3.065868,239,DEFINED
16,20260815,D_OB,LEAD,30,0.9,,,,239,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260815,D_OB,LEAD,60,0.5,0.159091,0.340909,1.988632,220,DEFINED
16,20260815,D_OB,LEAD,60,0.8,0.172727,0.627273,3.053007,220,DEFINED
16,20260815,D_OB,LEAD,60,0.9,,,,220,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260815,D_OB,LEAD,120,0.5,0.152778,0.347222,1.896635,72,DEFINED
16,20260815,D_OB,LEAD,120,0.8,0.152778,0.647222,2.992954,72,DEFINED
16,20260815,D_OB,LEAD,120,0.9,,,,72,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260815,D_OB,LEAD,180,0.5,0.0,0.5,1.933162,18,DEFINED
16,20260815,D_OB,LEAD,180,0.8,0.0,0.8,3.050873,18,DEFINED
16,20260815,D_OB,LEAD,180,0.9,,,,18,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260815,D_OB,LEAD,240,0.5,0.0,0.5,1.957194,12,DEFINED
16,20260815,D_OB,LEAD,240,0.8,0.0,0.8,3.094667,12,DEFINED
16,20260815,D_OB,LEAD,240,0.9,,,,12,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260815,D_OB,LEAD,300,0.5,0.0,0.5,1.968696,9,DEFINED
16,20260815,D_OB,LEAD,300,0.8,0.0,0.8,3.114072,9,DEFINED
16,20260815,D_OB,LEAD,300,0.9,,,,9,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260815,D_OB,OVERALL,,0.5,0.150235,0.349765,1.983377,639,DEFINED
16,20260815,D_OB,OVERALL,,0.8,0.205008,0.594992,3.054229,639,DEFINED
16,20260815,D_OB,OVERALL,,0.9,,,,639,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260815,D_TX,LEAD,0,0.5,0.382979,0.117021,2.144698,47,DEFINED
16,20260815,D_TX,LEAD,0,0.8,0.638298,0.161702,3.632285,47,DEFINED
16,20260815,D_TX,LEAD,0,0.9,,,,47,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260815,D_TX,LEAD,30,0.5,0.204861,0.295139,2.11409,288,DEFINED
16,20260815,D_TX,LEAD,30,0.8,0.381944,0.418056,3.594489,288,DEFINED
16,20260815,D_TX,LEAD,30,0.9,,,,288,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260815,D_TX,LEAD,60,0.5,0.145985,0.354015,2.072663,274,DEFINED
16,20260815,D_TX,LEAD,60,0.8,0.284672,0.515328,3.564693,274,DEFINED
16,20260815,D_TX,LEAD,60,0.9,,,,274,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260815,D_TX,LEAD,120,0.5,0.163265,0.336735,2.078625,147,DEFINED
16,20260815,D_TX,LEAD,120,0.8,0.258503,0.541497,3.600737,147,DEFINED
16,20260815,D_TX,LEAD,120,0.9,,,,147,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260815,D_TX,LEAD,180,0.5,0.272727,0.227273,2.234784,44,DEFINED
16,20260815,D_TX,LEAD,180,0.8,0.272727,0.527273,3.864716,44,DEFINED
16,20260815,D_TX,LEAD,180,0.9,,,,44,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260815,D_TX,LEAD,240,0.5,0.0,0.5,2.242413,33,DEFINED
16,20260815,D_TX,LEAD,240,0.8,0.363636,0.436364,4.011857,33,DEFINED
16,20260815,D_TX,LEAD,240,0.9,,,,33,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260815,D_TX,LEAD,300,0.5,0.0,0.5,2.260979,19,DEFINED
16,20260815,D_TX,LEAD,300,0.8,0.368421,0.431579,4.126455,19,DEFINED
16,20260815,D_TX,LEAD,300,0.9,,,,19,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260815,D_TX,OVERALL,,0.5,0.185475,0.314525,2.111336,895,DEFINED
16,20260815,D_TX,OVERALL,,0.8,0.338547,0.461453,3.62453,895,DEFINED
16,20260815,D_TX,OVERALL,,0.9,,,,895,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260816,T_IB_REMAINING_HAZARD,LEAD,0,0.5,0.188119,0.311881,8.861386,101,DEFINED
16,20260816,T_IB_REMAINING_HAZARD,LEAD,0,0.8,0.386139,0.413861,18.019802,101,DEFINED
16,20260816,T_IB_REMAINING_HAZARD,LEAD,0,0.9,0.465347,0.434653,24.059406,101,DEFINED
16,20260816,T_IB_REMAINING_HAZARD,LEAD,30,0.5,0.261538,0.238462,12.384615,65,DEFINED
16,20260816,T_IB_REMAINING_HAZARD,LEAD,30,0.8,0.446154,0.353846,20.230769,65,DEFINED
16,20260816,T_IB_REMAINING_HAZARD,LEAD,30,0.9,0.476923,0.423077,23.692308,65,DEFINED
16,20260816,T_IB_REMAINING_HAZARD,LEAD,60,0.5,0.076923,0.423077,17.820513,39,DEFINED
16,20260816,T_IB_REMAINING_HAZARD,LEAD,60,0.8,0.128205,0.671795,22.564103,39,DEFINED
16,20260816,T_IB_REMAINING_HAZARD,LEAD,60,0.9,0.128205,0.771795,23.974359,39,DEFINED
16,20260816,T_IB_REMAINING_HAZARD,LEAD,120,0.5,0.0,0.5,9.583333,12,DEFINED
16,20260816,T_IB_REMAINING_HAZARD,LEAD,120,0.8,0.0,0.8,24.583333,12,DEFINED
16,20260816,T_IB_REMAINING_HAZARD,LEAD,120,0.9,0.0,0.9,30.0,12,DEFINED
16,20260816,T_IB_REMAINING_HAZARD,OVERALL,,0.5,0.179724,0.320276,11.56682,217,DEFINED
16,20260816,T_IB_REMAINING_HAZARD,OVERALL,,0.8,0.336406,0.463594,19.861751,217,DEFINED
16,20260816,T_IB_REMAINING_HAZARD,OVERALL,,0.9,0.382488,0.517512,24.262673,217,DEFINED
16,20260816,D_OB,LEAD,0,0.5,0.231884,0.268116,2.155311,69,DEFINED
16,20260816,D_OB,LEAD,0,0.8,0.478261,0.321739,3.426202,69,DEFINED
16,20260816,D_OB,LEAD,0,0.9,,,,69,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260816,D_OB,LEAD,30,0.5,0.142259,0.357741,2.143754,239,DEFINED
16,20260816,D_OB,LEAD,30,0.8,0.276151,0.523849,3.409606,239,DEFINED
16,20260816,D_OB,LEAD,30,0.9,,,,239,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260816,D_OB,LEAD,60,0.5,0.159091,0.340909,2.155761,220,DEFINED
16,20260816,D_OB,LEAD,60,0.8,0.186364,0.613636,3.409626,220,DEFINED
16,20260816,D_OB,LEAD,60,0.9,,,,220,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260816,D_OB,LEAD,120,0.5,0.152778,0.347222,2.104334,72,DEFINED
16,20260816,D_OB,LEAD,120,0.8,0.152778,0.647222,3.365705,72,DEFINED
16,20260816,D_OB,LEAD,120,0.9,,,,72,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260816,D_OB,LEAD,180,0.5,0.0,0.5,2.144175,18,DEFINED
16,20260816,D_OB,LEAD,180,0.8,0.0,0.8,3.49175,18,DEFINED
16,20260816,D_OB,LEAD,180,0.9,,,,18,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260816,D_OB,LEAD,240,0.5,0.0,0.5,2.238718,12,DEFINED
16,20260816,D_OB,LEAD,240,0.8,0.0,0.8,3.547936,12,DEFINED
16,20260816,D_OB,LEAD,240,0.9,,,,12,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260816,D_OB,LEAD,300,0.5,0.0,0.5,2.237295,9,DEFINED
16,20260816,D_OB,LEAD,300,0.8,0.0,0.8,3.432466,9,DEFINED
16,20260816,D_OB,LEAD,300,0.9,,,,9,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260816,D_OB,OVERALL,,0.5,0.150235,0.349765,2.147807,639,DEFINED
16,20260816,D_OB,OVERALL,,0.8,0.236307,0.563693,3.411692,639,DEFINED
16,20260816,D_OB,OVERALL,,0.9,,,,639,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260816,D_TX,LEAD,0,0.5,0.404255,0.095745,2.041082,47,DEFINED
16,20260816,D_TX,LEAD,0,0.8,0.531915,0.268085,3.243376,47,DEFINED
16,20260816,D_TX,LEAD,0,0.9,,,,47,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260816,D_TX,LEAD,30,0.5,0.232639,0.267361,2.010969,288,DEFINED
16,20260816,D_TX,LEAD,30,0.8,0.295139,0.504861,3.171966,288,DEFINED
16,20260816,D_TX,LEAD,30,0.9,,,,288,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260816,D_TX,LEAD,60,0.5,0.156934,0.343066,1.980608,274,DEFINED
16,20260816,D_TX,LEAD,60,0.8,0.233577,0.566423,3.147306,274,DEFINED
16,20260816,D_TX,LEAD,60,0.9,,,,274,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260816,D_TX,LEAD,120,0.5,0.142857,0.357143,1.985142,147,DEFINED
16,20260816,D_TX,LEAD,120,0.8,0.258503,0.541497,3.16797,147,DEFINED
16,20260816,D_TX,LEAD,120,0.9,,,,147,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260816,D_TX,LEAD,180,0.5,0.272727,0.227273,2.022473,44,DEFINED
16,20260816,D_TX,LEAD,180,0.8,0.272727,0.527273,3.177496,44,DEFINED
16,20260816,D_TX,LEAD,180,0.9,,,,44,NOT_DEFINED_FROZEN_QUANTILE_GRID
16,20260816,D_TX,LEAD,240,0.5,0.363636,0.136364,2.02158,33,DEFINED
