stage,q,domain,A_reference,A_comparator,value_retained
TURN,0.1,P_service,36.37616618914659,32.60863783848457,0.8964286579549958
TURN,0.1,P_service,36.37616618914659,32.60863783848457,0.8964286579549958
TURN,0.1,P_service,36.37616618914659,32.60863783848457,0.8964286579549958
TURN,0.1,R_operating,0.0,0.0,
TURN,0.1,R_operating,0.0,0.0,
TURN,0.1,R_operating,0.0,0.0,
TURN,0.1,R_operating,0.0,0.0,
TURN,0.1,R_operating,0.42963040823815396,0.42963040823815396,1.0
TURN,0.1,R_operating,0.42963040823815396,0.42963040823815396,1.0
TURN,0.1,R_operating,0.42963040823815396,0.42963040823815396,1.0
TURN,0.1,R_operating,0.5579333069850692,0.5579333069850692,1.0
TURN,0.1,R_operating,0.5579333069850692,0.5579333069850692,1.0
TURN,0.1,R_operating,0.5579333069850692,0.5579333069850692,1.0
TURN,0.1,R_operating,0.5579333069850692,0.5579333069850692,1.0
TURN,0.1,R_operating,0.5579333069850692,0.5579333069850692,1.0
TURN,0.1,R_operating,0.5579333069850692,0.5579333069850692,1.0
TURN,0.1,R_operating,0.5579333069850692,0.5579333069850692,1.0
TURN,0.1,R_operating,0.5579333069850692,0.5579333069850692,1.0
TURN,0.1,R_operating,0.5579333069850692,0.5579333069850692,1.0
TURN,0.1,R_operating,0.5579333069850692,0.5579333069850692,1.0
TURN,0.1,R_operating,0.5579333069850692,0.5579333069850692,1.0
TURN,0.1,R_operating,0.5579333069850692,0.5579333069850692,1.0
TURN,0.1,R_operating,0.5579333069850692,0.5579333069850692,1.0
TURN,0.1,R_operating,0.5579333069850692,0.5579333069850692,1.0
TURN,0.1,R_operating,0.5579333069850692,0.5579333069850692,1.0
TURN,0.1,R_operating,0.5579333069850692,0.5579333069850692,1.0
TURN,0.1,R_operating,0.5579333069850692,0.5579333069850692,1.0
TURN,0.1,R_operating,1.0816934936796314,1.0816934936796314,1.0
TURN,0.1,R_operating,1.0816934936796314,1.0816934936796314,1.0
TURN,0.1,R_operating,1.0816934936796314,1.0816934936796314,1.0
TURN,0.1,R_operating,1.0816934936796314,1.0816934936796314,1.0
TURN,0.1,R_operating,1.0816934936796314,1.1795163958435295,1.0904349547588854
TURN,0.1,R_operating,1.0816934936796314,1.1795163958435295,1.0904349547588854
TURN,0.1,R_operating,1.0816934936796314,1.1795163958435295,1.0904349547588854
TURN,0.1,R_operating,1.0816934936796314,1.1795163958435295,1.0904349547588854
TURN,0.1,R_operating,1.0816934936796314,1.1795163958435295,1.0904349547588854
TURN,0.1,R_operating,1.0816934936796314,1.1795163958435295,1.0904349547588854
TURN,0.1,R_operating,1.0816934936796314,1.1795163958435295,1.0904349547588854
TURN,0.1,R_operating,1.0816934936796314,1.1795163958435295,1.0904349547588854
TURN,0.1,R_operating,1.0816934936796314,1.1795163958435295,1.0904349547588854
TURN,0.1,R_operating,1.0816934936796314,1.1795163958435295,1.0904349547588854
TURN,0.1,R_operating,1.0816934936796314,1.1795163958435295,1.0904349547588854
TURN,0.1,R_operating,1.0816934936796314,1.1795163958435295,1.0904349547588854
TURN,0.1,R_operating,1.0816934936796314,1.1795163958435295,1.0904349547588854
TURN,0.1,R_operating,1.0816934936796314,1.1795163958435295,1.0904349547588854
TURN,0.1,R_operating,1.0816934936796314,1.1795163958435295,1.0904349547588854
TURN,0.1,R_operating,1.0816934936796314,1.1795163958435295,1.0904349547588854
TURN,0.1,R_operating,1.0816934936796314,1.1795163958435295,1.0904349547588854
TURN,0.1,R_operating,1.0816934936796314,1.1795163958435295,1.0904349547588854
TURN,0.1,R_operating,1.0816934936796314,1.1795163958435295,1.0904349547588854
TURN,0.1,R_operating,1.0816934936796314,1.1795163958435295,1.0904349547588854
TURN,0.1,R_operating,1.0816934936796314,1.1795163958435295,1.0904349547588854
TURN,0.1,R_operating,1.0816934936796314,1.1795163958435295,1.0904349547588854
TURN,0.1,R_operating,1.0816934936796314,1.1795163958435295,1.0904349547588854
TURN,0.1,R_operating,1.0816934936796314,1.1795163958435295,1.0904349547588854
TURN,0.1,R_operating,1.0816934936796314,1.1795163958435295,1.0904349547588854
TURN,0.1,R_operating,1.0816934936796314,1.1795163958435295,1.0904349547588854
TURN,0.1,R_operating,1.0816934936796314,1.1795163958435295,1.0904349547588854
TURN,0.1,R_operating,1.0816934936796314,1.1795163958435295,1.0904349547588854
TURN,0.1,R_operating,1.0816934936796314,1.1795163958435295,1.0904349547588854
TURN,0.1,R_operating,1.0816934936796314,1.1795163958435295,1.0904349547588854
TURN,0.1,R_operating,1.0816934936796314,1.1795163958435295,1.0904349547588854
TURN,0.1,R_operating,1.0816934936796314,1.1795163958435295,1.0904349547588854
TURN,0.1,R_operating,1.6979367440915667,1.7957596462554648,1.0576128071344821
TURN,0.1,R_operating,1.6979367440915667,1.7957596462554648,1.0576128071344821
TURN,0.1,R_operating,1.6979367440915667,1.7957596462554648,1.0576128071344821
TURN,0.1,R_operating,2.1884180291934174,1.7957596462554648,0.8205743246034789
TURN,0.1,R_operating,2.1884180291934174,1.7957596462554648,0.8205743246034789
TURN,0.1,R_operating,2.1884180291934174,1.7957596462554648,0.8205743246034789
TURN,0.1,R_operating,2.1884180291934174,1.7957596462554648,0.8205743246034789
TURN,0.1,R_operating,2.1884180291934174,1.7957596462554648,0.8205743246034789
TURN,0.1,R_operating,2.1884180291934174,1.7957596462554648,0.8205743246034789
TURN,0.1,R_operating,2.1884180291934174,1.7957596462554648,0.8205743246034789
