episode_id,decision_node_id,variant,consequence_available,action_instantiation_available,comparison_available,comparison_reason,n_instantiated_actions,n_comparable_actions,F_consequence,P_consequence,R_consequence,top1_action,ranking_available,ranking_reason
sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,sha256:62dda7677f2931da08896b4e50b436116d241a3bb4af5a0b3434d69b165ff849,EXP1A_REDUCED,True,True,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE,23,0,0.2359045077029616,0.29994961987870705,0.16874474266233538,,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE
sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,sha256:33489d8fabaeaf3f131b62e432eeff27301b906f781b6876e34b7c301cde75cf,EXP1A_FULL,True,True,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE,23,0,0.24037385267406888,0.3064606863914381,0.1744031738769262,,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE
sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,sha256:33489d8fabaeaf3f131b62e432eeff27301b906f781b6876e34b7c301cde75cf,EXP1A_REDUCED,True,True,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE,23,0,0.24037385267406888,0.3064606863914381,0.1744031738769262,,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE
sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,sha256:52c2c8a22c03db637245608f25c136e97dc5b3a8fd7a13432da46e2f9620f09e,EXP1A_FULL,True,True,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE,23,0,0.24510099931564258,0.3133661671509895,0.1805708096358784,,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE
sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,sha256:52c2c8a22c03db637245608f25c136e97dc5b3a8fd7a13432da46e2f9620f09e,EXP1A_REDUCED,True,True,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE,23,0,0.24510099931564258,0.3133661671509895,0.1805708096358784,,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE
sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,sha256:112d68b7b72ba870f1be0e96f34fd062010bacc3f3f1d113f4497197ef8676ba,EXP1A_FULL,True,True,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE,23,0,0.24602780392247375,0.3142862180477111,0.18051064468920208,,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE
sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,sha256:112d68b7b72ba870f1be0e96f34fd062010bacc3f3f1d113f4497197ef8676ba,EXP1A_REDUCED,True,True,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE,23,0,0.24602780392247375,0.3142862180477111,0.18051064468920208,,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE
sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,sha256:b39a22fa08dc434588326fe9415a2304a24b9a93364af926eda25b876bd3737c,EXP1A_FULL,True,True,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE,23,0,0.23329648980446618,0.2978359222608734,0.1711845047791251,,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE
sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,sha256:b39a22fa08dc434588326fe9415a2304a24b9a93364af926eda25b876bd3737c,EXP1A_REDUCED,True,True,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE,23,0,0.23329648980446618,0.2978359222608734,0.1711845047791251,,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE
sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,sha256:57dd0462f69844aef5de9289f338484ec9b0b21e827dc6cfbe7e438537ee91f9,EXP1A_FULL,True,True,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE,23,0,0.23509769304852715,0.30027325654081427,0.173026472305361,,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE
