decision_node_id,band,conditional_top1_action_id,top1_residual_risk_objective,top1_expected_constructed_eur,n_conditional_comparable_actions,support_status
sha256:b39a22fa08dc434588326fe9415a2304a24b9a93364af926eda25b876bd3737c,BASE,A00,43.32214798972625,29.408332522314083,23,PARTIAL_DIAGNOSTIC
sha256:b39a22fa08dc434588326fe9415a2304a24b9a93364af926eda25b876bd3737c,HIGH,A00,86.6442959794525,58.81666504462817,23,PARTIAL_DIAGNOSTIC
sha256:57dd0462f69844aef5de9289f338484ec9b0b21e827dc6cfbe7e438537ee91f9,LOW,A00,21.802455048915515,14.833826453987934,23,PARTIAL_DIAGNOSTIC
sha256:57dd0462f69844aef5de9289f338484ec9b0b21e827dc6cfbe7e438537ee91f9,BASE,A00,43.60491009783103,29.667652907975867,23,PARTIAL_DIAGNOSTIC
sha256:57dd0462f69844aef5de9289f338484ec9b0b21e827dc6cfbe7e438537ee91f9,HIGH,A00,87.20982019566206,59.335305815951735,23,PARTIAL_DIAGNOSTIC
sha256:12d7e6989f584c575bc3fc34ba4e5e16fd90d53b9f8568cc8de7df22052f870e,LOW,A00,21.89091814142072,14.916675076698022,23,PARTIAL_DIAGNOSTIC
sha256:12d7e6989f584c575bc3fc34ba4e5e16fd90d53b9f8568cc8de7df22052f870e,BASE,A00,43.78183628284144,29.833350153396044,23,PARTIAL_DIAGNOSTIC
sha256:12d7e6989f584c575bc3fc34ba4e5e16fd90d53b9f8568cc8de7df22052f870e,HIGH,A00,87.56367256568288,59.66670030679209,23,PARTIAL_DIAGNOSTIC
sha256:db5a6191be0b6ceeccbe81bc6c9a8a00e631d09acbf55cf70d949b0bdc21504b,LOW,A00,21.947266581172315,14.971471698892811,23,PARTIAL_DIAGNOSTIC
sha256:db5a6191be0b6ceeccbe81bc6c9a8a00e631d09acbf55cf70d949b0bdc21504b,BASE,A00,43.89453316234463,29.942943397785623,23,PARTIAL_DIAGNOSTIC
sha256:db5a6191be0b6ceeccbe81bc6c9a8a00e631d09acbf55cf70d949b0bdc21504b,HIGH,A00,87.78906632468926,59.885886795571246,23,PARTIAL_DIAGNOSTIC
sha256:e7d59a803a96f5e1dae0e25c169831e46727c10c61ed2f48d91193b7d3887641,LOW,A00,21.985305861067115,15.009620763615331,23,PARTIAL_DIAGNOSTIC
sha256:e7d59a803a96f5e1dae0e25c169831e46727c10c61ed2f48d91193b7d3887641,BASE,A00,43.97061172213423,30.019241527230662,23,PARTIAL_DIAGNOSTIC
sha256:e7d59a803a96f5e1dae0e25c169831e46727c10c61ed2f48d91193b7d3887641,HIGH,A00,87.94122344426846,60.038483054461324,23,PARTIAL_DIAGNOSTIC
sha256:898df12f9e9ad5d75063aec2d97737415010831c7b1cd9922adcfebb43162e9c,LOW,A00,20.35959089702719,14.476188517882509,23,PARTIAL_DIAGNOSTIC
sha256:898df12f9e9ad5d75063aec2d97737415010831c7b1cd9922adcfebb43162e9c,BASE,A00,40.71918179405438,28.952377035765018,23,PARTIAL_DIAGNOSTIC
sha256:898df12f9e9ad5d75063aec2d97737415010831c7b1cd9922adcfebb43162e9c,HIGH,A00,81.43836358810876,57.904754071530036,23,PARTIAL_DIAGNOSTIC
sha256:dd15b0e0e4b7410a0aded843d484f6aaeb4f0aeaa81cd21ab039d80c733cdf59,LOW,A00,20.789252240083094,14.940259437493133,23,PARTIAL_DIAGNOSTIC
sha256:dd15b0e0e4b7410a0aded843d484f6aaeb4f0aeaa81cd21ab039d80c733cdf59,BASE,A00,41.57850448016619,29.880518874986265,23,PARTIAL_DIAGNOSTIC
sha256:dd15b0e0e4b7410a0aded843d484f6aaeb4f0aeaa81cd21ab039d80c733cdf59,HIGH,A00,83.15700896033238,59.76103774997253,23,PARTIAL_DIAGNOSTIC
sha256:6a330f354b4427890f48909dcf9aac06ed5c10c80943e71a5dc3c64c360e93a5,LOW,A00,20.097216390128192,14.146544300829401,23,PARTIAL_DIAGNOSTIC
sha256:6a330f354b4427890f48909dcf9aac06ed5c10c80943e71a5dc3c64c360e93a5,BASE,A00,40.194432780256385,28.293088601658802,23,PARTIAL_DIAGNOSTIC
sha256:6a330f354b4427890f48909dcf9aac06ed5c10c80943e71a5dc3c64c360e93a5,HIGH,A00,80.38886556051277,56.586177203317604,23,PARTIAL_DIAGNOSTIC
sha256:5133d55e28411b271d276caefa5fa5992aac3c3f99e10356fa25ea1719bc9394,LOW,A00,20.35144051133895,14.398514031196768,23,PARTIAL_DIAGNOSTIC
sha256:5133d55e28411b271d276caefa5fa5992aac3c3f99e10356fa25ea1719bc9394,BASE,A00,40.7028810226779,28.797028062393537,23,PARTIAL_DIAGNOSTIC
sha256:5133d55e28411b271d276caefa5fa5992aac3c3f99e10356fa25ea1719bc9394,HIGH,A00,81.4057620453558,57.59405612478707,23,PARTIAL_DIAGNOSTIC
sha256:37881ebcc358e6425e2eb083177e00a0169aba26512cdcf22268575308b4fcc8,LOW,A00,20.51531239076587,14.565910965341196,23,PARTIAL_DIAGNOSTIC
sha256:37881ebcc358e6425e2eb083177e00a0169aba26512cdcf22268575308b4fcc8,BASE,A00,41.03062478153174,29.131821930682392,23,PARTIAL_DIAGNOSTIC
sha256:37881ebcc358e6425e2eb083177e00a0169aba26512cdcf22268575308b4fcc8,HIGH,A00,82.06124956306348,58.263643861364784,23,PARTIAL_DIAGNOSTIC
sha256:61db25ccf6ba6b9cf533e3b9d8302bef5d1d277b9100945c97685bb063691eb4,LOW,A00,20.620655992525254,14.676795239006706,23,PARTIAL_DIAGNOSTIC
sha256:61db25ccf6ba6b9cf533e3b9d8302bef5d1d277b9100945c97685bb063691eb4,BASE,A00,41.24131198505051,29.353590478013412,23,PARTIAL_DIAGNOSTIC
sha256:61db25ccf6ba6b9cf533e3b9d8302bef5d1d277b9100945c97685bb063691eb4,HIGH,A00,82.48262397010102,58.707180956026825,23,PARTIAL_DIAGNOSTIC
sha256:caf4164612b902a5a64500c9730aa04db46be9d444d8951104f5d66b0bbaf5ce,LOW,A00,20.690410372429177,14.751754575187384,23,PARTIAL_DIAGNOSTIC
sha256:caf4164612b902a5a64500c9730aa04db46be9d444d8951104f5d66b0bbaf5ce,BASE,A00,41.380820744858354,29.503509150374768,23,PARTIAL_DIAGNOSTIC
sha256:caf4164612b902a5a64500c9730aa04db46be9d444d8951104f5d66b0bbaf5ce,HIGH,A00,82.76164148971671,59.007018300749536,23,PARTIAL_DIAGNOSTIC
sha256:1b083cf99e06973d2004d35e1e1cd0bb0c6acdd656f8ac8fe653437c2d5f822c,LOW,A00,20.73964033881409,14.80567715785621,23,PARTIAL_DIAGNOSTIC
sha256:1b083cf99e06973d2004d35e1e1cd0bb0c6acdd656f8ac8fe653437c2d5f822c,BASE,A00,41.47928067762818,29.61135431571242,23,PARTIAL_DIAGNOSTIC
sha256:1b083cf99e06973d2004d35e1e1cd0bb0c6acdd656f8ac8fe653437c2d5f822c,HIGH,A00,82.95856135525636,59.22270863142484,23,PARTIAL_DIAGNOSTIC
sha256:f93a3dfdd336c2ca34c49aef9c7f7d8b48e300f769a1eb5304a2f6d6a13eaf4e,LOW,A00,20.77656648002437,14.846723597961828,23,PARTIAL_DIAGNOSTIC
