valuation_band,action_id,nodes,expected_constructed_eur_mean,expected_constructed_eur_median,residual_risk_mean,finite_support_rate_mean
BASE,A00,1765,27.012250991845033,27.27144914099787,40.782885833041945,0.9118368271954675
BASE,A11,1765,48.70225099184504,48.96144914099775,62.47288583304195,0.9118368271954675
BASE,A13,1765,54.47859391314285,54.732318371929196,67.68516331375385,0.9118368271954675
BASE,A21,1765,40.19576249403171,40.437745647456545,53.411442971920145,0.9118368271954675
BASE,A22,1765,40.53623233246959,40.776016494464635,53.990093359104876,0.9118368271954675
BASE,A23,1765,33.5335327556284,33.80354551133322,47.05947443615797,0.9118368271954675
BASE,A31,1765,63.012250991845015,63.271449140997824,76.78288583304193,0.9118368271954675
BASE,A32,1765,48.60329632538936,48.869124516500854,62.369846182156145,0.9118368271954675
BASE,A33,1765,41.41225099184505,41.671449140997865,55.18288583304195,0.9118368271954675
BASE,A41,1765,48.13759476203756,48.409115314663545,61.78035381084532,0.9118368271954675
BASE,A42,1765,55.495596081138096,55.76283567907494,69.17981366509017,0.9118368271954675
BASE,A43,1765,70.00906144671822,70.26179947715389,83.7238087551947,0.9118368271954675
BASE,A51,1765,90.47977949977498,90.72716223038536,103.69234491351766,0.9118368271954675
BASE,A52,1765,83.4726770161042,83.69333351862606,96.78259615822607,0.9118368271954675
BASE,A53,1765,82.19919957008433,82.43265369386899,95.12404871500816,0.9118368271954675
BASE,A54,1765,105.67413022362642,105.91629587281363,119.22527709311866,0.9118368271954675
BASE,A55,1765,91.27567262168846,91.53074122607346,104.82706064242677,0.9118368271954675
BASE,A61,1765,53.847721192567555,54.10005425162655,66.92311333280588,0.9118368271954675
BASE,A62,1765,68.24907695514757,68.47159437498779,81.33034411071176,0.9118368271954675
BASE,A63,1765,69.72036140128257,69.96443539282981,83.29446148972005,0.9118368271954675
BASE,A64,1765,62.19929709998093,62.42205110418561,75.6599317574985,0.9118368271954675
BASE,A71,1765,113.11848420629985,113.1909992266308,123.59488724945255,0.9118368271954675
BASE,A72,1765,142.80026862022473,142.9843886475862,153.72974982731546,0.9118368271954675
HIGH,A00,1765,54.024501983690065,54.54289828199574,81.56577166608389,0.9118368271954675
HIGH,A11,1765,97.40450198369008,97.9228982819955,124.9457716660839,0.9118368271954675
HIGH,A13,1765,108.9571878262857,109.46463674385839,135.3703266275077,0.9118368271954675
HIGH,A21,1765,80.39152498806342,80.87549129491309,106.82288594384029,0.9118368271954675
HIGH,A22,1765,81.07246466493918,81.55203298892927,107.98018671820975,0.9118368271954675
HIGH,A23,1765,67.0670655112568,67.60709102266644,94.11894887231594,0.9118368271954675
HIGH,A31,1765,126.02450198369003,126.54289828199565,153.56577166608386,0.9118368271954675
HIGH,A32,1765,97.20659265077872,97.73824903300171,124.73969236431229,0.9118368271954675
HIGH,A33,1765,82.8245019836901,83.34289828199573,110.3657716660839,0.9118368271954675
HIGH,A41,1765,96.27518952407512,96.81823062932709,123.56070762169064,0.9118368271954675
HIGH,A42,1765,110.99119216227619,111.52567135814988,138.35962733018033,0.9118368271954675
HIGH,A43,1765,140.01812289343644,140.52359895430777,167.4476175103894,0.9118368271954675
HIGH,A51,1765,180.95955899954996,181.45432446077072,207.38468982703532,0.9118368271954675
HIGH,A52,1765,166.9453540322084,167.38666703725212,193.56519231645214,0.9118368271954675
HIGH,A53,1765,164.39839914016866,164.86530738773797,190.24809743001632,0.9118368271954675
HIGH,A54,1765,211.34826044725284,211.83259174562727,238.45055418623733,0.9118368271954675
HIGH,A55,1765,182.55134524337691,183.06148245214692,209.65412128485355,0.9118368271954675
HIGH,A61,1765,107.69544238513511,108.2001085032531,133.84622666561177,0.9118368271954675
HIGH,A62,1765,136.49815391029514,136.94318874997558,162.66068822142353,0.9118368271954675
HIGH,A63,1765,139.44072280256515,139.92887078565963,166.5889229794401,0.9118368271954675
HIGH,A64,1765,124.39859419996186,124.84410220837123,151.319863514997,0.9118368271954675
HIGH,A71,1765,226.2369684125997,226.3819984532616,247.1897744989051,0.9118368271954675
HIGH,A72,1765,285.60053724044946,285.9687772951724,307.4594996546309,0.9118368271954675
