iata,ident,lat,lon,timezone
CHZ,K2S7,42.579440493,-121.879062653,America/Los_Angeles
LTW,K2W6,38.315399,-76.550102,America/New_York
AHF,K37V,40.3395004272,-99.90650177,America/Chicago
PCT,K39N,40.3992004395,-74.6588973999,America/New_York
CTO,K3C8,40.9151000977,-72.7919006348,America/New_York
NRI,K3O9,36.577598571777,-94.86190032959,America/Chicago
GTP,K3S8,42.510101,-123.388,America/Los_Angeles
NLE,K3TR,41.835899353027,-86.225196838379,America/Detroit
GCD,K3W7,47.922000885,-119.083000183,America/Los_Angeles
VLE,K40G,35.65060043335,-112.14800262451,America/Phoenix
FPY,K40J,30.0693,-83.580597,America/New_York
NTJ,K41U,39.32910156,-111.6149979,America/Denver
MSD,K43U,39.526651,-111.475978,America/Denver
SBO,K44U,39.0290985107,-111.837997437,America/Denver
JVI,K47N,40.5243988037,-74.59839630130001,America/New_York
UCE,K4R7,30.466299057007,-92.423797607422,America/Chicago
GOL,K4S1,42.41339874,-124.4240036,America/Los_Angeles
KKT,K50I,40.7587013245,-87.42819976810001,America/Chicago
PRW,K5N2,45.542999,-90.279297,America/Chicago
EGP,K5T9,28.859766,-100.516682,America/Chicago
BLD,K61B,35.947498,-114.861,America/Los_Angeles
MFH,K67L,36.834999,-114.055,America/Los_Angeles
ECA,K6D9,44.312801,-83.422302,America/Detroit
FMU,K6S2,43.98279953,-124.111000061,America/Los_Angeles
OTS,K74S,48.499,-122.662003,America/Los_Angeles
ROL,K74V,40.278301,-110.051003,America/Denver
CTK,K7G9,43.308899,-96.570999,America/Chicago
WPO,K7V2,38.8316993713,-107.646003723,America/Denver
ATE,K80F,34.1926002502,-95.6499023438,America/Chicago
QWG,K8A6,35.21385,-80.668284,America/New_York
ASQ,K9U3,39.467998,-117.195,America/Los_Angeles
AAF,KAAF,29.72750092,-85.02749634,America/New_York
ABE,KABE,40.651773,-75.442797,America/New_York
ABI,KABI,32.4113006592,-99.6819000244,America/Chicago
ABQ,KABQ,35.040199,-106.609001,America/Denver
ABR,KABR,45.449100494384766,-98.42179870605467,America/Chicago
ABY,KABY,31.532946,-84.196215,America/New_York
ACB,KACB,44.988602,-85.198402,America/Detroit
ACK,KACK,41.25310135,-70.06020355,America/New_York
ACT,KACT,31.611299514770508,-97.23049926757812,America/Chicago
ACV,KACV,40.978101,-124.109,America/Los_Angeles
ACY,KACY,39.45759963989258,-74.57720184326172,America/New_York
ADG,KADG,41.866205,-84.077983,America/Detroit
ADT,KADH,34.805214,-96.671988,America/Chicago
ADM,KADM,34.30301,-97.0196342,America/Chicago
ADS,KADS,32.9686012268,-96.8364028931,America/Chicago
ADW,KADW,38.810799,-76.866997,America/New_York
KAE,KAE,56.973,-133.945999,America/Sitka
AEL,KAEL,43.68149948,-93.36720276,America/Chicago
AEX,KAEX,31.3274,-92.549797,America/Chicago
AFF,KAFF,38.96969986,-104.8130035,America/Denver
WSG,KAFJ,40.1365013123,-80.29019927979999,America/New_York
AFN,KAFN,42.805099487300005,-72.0029983521,America/New_York
AFO,KAFO,42.7112007141,-110.942001343,America/Denver
AFW,KAFW,32.987598,-97.318802,America/Chicago
AGC,KAGC,40.354400634765625,-79.9301986694336,America/New_York
AGO,KAGO,33.228001,-93.217002,America/Chicago
AGS,KAGS,33.3699,-81.9645,America/New_York
AHC,KAHC,40.26620102,-120.1529999,America/Los_Angeles
AHH,KAHH,45.2811012268,-92.3753967285,America/Chicago
AHN,KAHN,33.94860076904297,-83.32630157470703,America/New_York
AIA,KAIA,42.0531997681,-102.804000854,America/Denver
AID,KAID,40.10860061649999,-85.6129989624,America/Indiana/Indianapolis
AIK,KAIK,33.649399,-81.684998,America/New_York
AIO,KAIO,41.40729904,-95.04689789,America/Chicago
AIV,KAIV,33.106499,-88.1978,America/Chicago
AIY,KAIY,39.3600006104,-74.4561004639,America/New_York
AIZ,KAIZ,38.0960006714,-92.54949951170002,America/Chicago
AKO,KAKO,40.1755981445,-103.222000122,America/Denver
AKC,KAKR,41.037498,-81.466904,America/New_York
ALB,KALB,42.74829864501953,-73.80169677734375,America/New_York
ALI,KALI,27.7409,-98.026901,America/Chicago
ALM,KALM,32.8399009705,-105.990997314,America/Denver
ALN,KALN,38.89030075069999,-90.0459976196,America/Chicago
ALO,KALO,42.55709838867188,-92.40029907226562,America/Chicago
ALS,KALS,37.434898,-105.866997,America/Denver
ALW,KALW,46.09489822,-118.288002,America/Los_Angeles
ALX,KALX,32.914699554399995,-85.9629974365,America/Chicago
AMA,KAMA,35.219398,-101.706001,America/Chicago
AMN,KAMN,43.322101593,-84.68800354,America/Detroit
AMW,KAMW,41.992001,-93.621803,America/Chicago
ANB,KANB,33.5882,-85.8581,America/Chicago
AND,KAND,34.4945983887,-82.70939636230001,America/New_York
SLT,KANK,38.5383,-106.049004,America/Denver
ANP,KANP,38.942902,-76.568398,America/New_York
ANQ,KANQ,41.639702,-85.083504,America/Indiana/Indianapolis
ANW,KANW,42.579201,-99.992995,America/Chicago
